dataset,num_test_trajectories,num_evaluated_trajectories,trajectory_length,shape,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29,elapsed_seconds
diff,60,60,30,2x128x128,0.0607997,0.257967,0.456397,0.674237,11.149
hyp,60,60,30,2x128x128,0.0876864,0.260534,0.384095,0.480948,10.599
burgers,60,60,30,2x128x128,0.0810563,0.531359,0.96279,1.26265,10.731
kdv,60,60,30,2x128x128,0.102895,0.611358,1.09871,1.42467,10.768
ks,5,5,30,2x128x128,0.0921307,1.08259,1.64251,1.79017,1.495
fisher,60,60,30,2x128x128,0.0356362,0.52602,0.611937,0.516519,10.598
gs_alpha,3,3,30,2x128x128,0.0874269,0.858227,1.24336,1.47203,1.489
gs_beta,3,3,30,2x128x128,0.136184,1.21972,1.59842,1.60676,1.408
gs_gamma,3,3,30,2x128x128,0.156229,0.775087,1.00693,1.12006,1.463
gs_delta,100,100,30,2x128x128,0.0535633,1.31688,1.06251,0.943209,17.271
gs_epsilon,3,3,30,2x128x128,0.0870451,0.625892,1.05286,1.2775,1.418
gs_theta,100,100,30,2x128x128,0.0401542,1.21217,1.03713,0.961384,17.307
gs_iota,100,100,30,2x128x128,0.0420716,1.21642,0.985334,0.911213,17.332
gs_kappa,100,100,30,2x128x128,0.0669739,1.03177,1.22454,1.03148,17.300
sh,60,60,30,2x128x128,0.0960094,0.695827,1.03058,1.01542,10.546
decay_turb,5,5,30,2x128x128,0.282759,0.594205,0.74,0.926237,1.506
kolm_flow,5,5,30,2x128x128,0.30264,0.978301,1.21481,1.21184,1.514
macro_avg,,,,,0.106545,0.811431,1.02076,1.09567,
micro_avg,,787,,,0.0672294,0.85695,0.935596,0.944428,338.311
