epoch,train_loss,val_loss,steps_per_epoch
1,0.331737,0.168414,81
2,0.103455,0.0722787,81
3,0.060979,0.0527095,81
4,0.0489043,0.0449706,81
5,0.0426152,0.0409993,81
6,0.0396325,0.0379404,81
7,0.0366722,0.0362892,81
8,0.0347681,0.0351315,81
9,0.0333534,0.0334025,81
10,0.0317839,0.0317541,81
11,0.0308821,0.0302904,81
12,0.0300694,0.0294636,81
13,0.0282268,0.0282055,81
14,0.0278632,0.0276234,81
15,0.0259647,0.0259519,81
16,0.024785,0.024932,81
17,0.024921,0.0244443,81
18,0.0235167,0.0236818,81
19,0.0221396,0.0222141,81
20,0.0219048,0.0215619,81
21,0.0209827,0.0211538,81
22,0.0206075,0.020465,81
23,0.0196576,0.0198998,81
24,0.0193586,0.0196413,81
25,0.0185366,0.0186476,81
26,0.0181131,0.018762,81
27,0.0174845,0.0180454,81
28,0.0167001,0.0174711,81
29,0.0172719,0.0173036,81
30,0.0165739,0.0166584,81
31,0.0164843,0.018587,81
32,0.0159486,0.0160904,81
33,0.0151258,0.0160763,81
34,0.0155593,0.0155732,81
35,0.0146442,0.0159282,81
36,0.0142426,0.0150253,81
37,0.0148491,0.0150611,81
38,0.0136826,0.0146597,81
39,0.0137499,0.0144716,81
40,0.0134787,0.0141964,81
41,0.0143909,0.0244982,81
42,0.0155223,0.0140328,81
43,0.0129935,0.0139911,81
44,0.0125543,0.0136418,81
45,0.0127539,0.0135603,81
46,0.0121179,0.0137346,81
47,0.0123517,0.0131806,81
48,0.012172,0.0130659,81
49,0.0119487,0.0125244,81
50,0.0123354,0.0125558,81
51,0.0117394,0.0124922,81
52,0.01161,0.0121619,81
53,0.0112484,0.0120933,81
54,0.0110208,0.011992,81
55,0.0114466,0.012321,81
56,0.0124574,0.0126248,81
57,0.0108643,0.0115507,81
58,0.0109094,0.0119192,81
59,0.0105403,0.0116537,81
60,0.0106763,0.0114035,81
61,0.0102642,0.0112337,81
62,0.010373,0.0112871,81
63,0.0105946,0.0116882,81
64,0.0100873,0.0109459,81
65,0.0100632,0.0109914,81
66,0.00965621,0.0108089,81
67,0.0099173,0.0111045,81
68,0.00935955,0.0106845,81
69,0.00972944,0.0103097,81
70,0.009437,0.0105295,81
71,0.00930461,0.0103968,81
72,0.00911189,0.0101234,81
73,0.00922982,0.010342,81
74,0.0097232,0.0102421,81
75,0.00936855,0.0101844,81
76,0.00871701,0.0100057,81
77,0.00924662,0.0104334,81
78,0.00880847,0.00979419,81
79,0.00863787,0.00958731,81
80,0.00828365,0.00968669,81
81,0.00843302,0.00959574,81
82,0.00832165,0.0099205,81
83,0.00847614,0.00955077,81
84,0.00827175,0.00940505,81
85,0.00838241,0.00934439,81
86,0.00796823,0.0095138,81
87,0.00828557,0.0100652,81
88,0.00815933,0.00913727,81
89,0.0130491,0.0114772,81
90,0.00921267,0.00952924,81
91,0.00835703,0.00933847,81
92,0.00787117,0.00939623,81
93,0.0080145,0.009184,81
94,0.00760252,0.00874971,81
95,0.00792901,0.0100687,81
96,0.00759959,0.00882305,81
97,0.00747176,0.00855824,81
98,0.00735782,0.0090931,81
99,0.00749716,0.0088404,81
100,0.00759682,0.00915601,81
