dataset,num_test_trajectories,num_evaluated_trajectories,trajectory_length,shape,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29,elapsed_seconds
diff,60,60,30,2x128x128,0.0644788,0.270521,0.500063,0.7817,20.123
hyp,60,60,30,2x128x128,0.0926561,0.275859,0.424258,0.536429,19.560
burgers,60,60,30,2x128x128,0.0710237,0.448579,0.955408,1.31082,19.859
kdv,60,60,30,2x128x128,0.0859646,0.549852,1.13994,1.59884,19.781
ks,5,5,30,2x128x128,0.0791862,0.947287,1.31403,1.36923,2.564
fisher,60,60,30,2x128x128,0.0377334,0.601505,0.83712,0.738106,19.658
gs_alpha,3,3,30,2x128x128,0.073954,0.777517,1.15623,1.4237,2.296
gs_beta,3,3,30,2x128x128,0.124841,1.19968,1.5719,1.60059,2.350
gs_gamma,3,3,30,2x128x128,0.112007,0.661117,0.925587,1.11027,2.271
gs_delta,100,100,30,2x128x128,0.0449507,0.864941,1.07136,0.989252,32.080
gs_epsilon,3,3,30,2x128x128,0.078177,0.506419,0.862116,1.01272,2.396
gs_theta,100,100,30,2x128x128,0.0285819,0.756029,1.01491,0.980314,32.248
gs_iota,100,100,30,2x128x128,0.0319299,0.379663,0.848864,0.813904,32.119
gs_kappa,100,100,30,2x128x128,0.0528392,0.563769,0.985731,1.02992,32.165
sh,60,60,30,2x128x128,0.108898,0.731245,0.980531,0.952277,19.675
decay_turb,5,5,30,2x128x128,0.219502,0.517388,0.616237,0.734282,2.524
kolm_flow,5,5,30,2x128x128,0.226821,0.801513,1.17504,1.24673,2.572
macro_avg,,,,,0.0902085,0.638405,0.96349,1.0723,
micro_avg,,787,,,0.0600635,0.571612,0.903939,0.976649,460.417
