dataset,num_test_trajectories,num_evaluated_trajectories,trajectory_length,shape,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29,elapsed_seconds
diff,60,60,30,2x128x128,0.0641179,0.274999,0.429295,0.554997,9.936
hyp,60,60,30,2x128x128,0.0818837,0.250311,0.335074,0.375301,9.434
burgers,60,60,30,2x128x128,0.0829872,0.495084,0.942114,1.32503,9.738
kdv,60,60,30,2x128x128,0.117508,0.597939,0.912866,1.17225,9.783
ks,5,5,30,2x128x128,0.0709961,0.940252,1.39655,1.53169,1.362
fisher,60,60,30,2x128x128,0.039178,0.609173,0.726885,0.592365,9.459
gs_alpha,3,3,30,2x128x128,0.0806516,0.640879,1.05893,1.30322,1.347
gs_beta,3,3,30,2x128x128,0.129606,1.18856,1.42755,1.35904,1.333
gs_gamma,3,3,30,2x128x128,0.125397,0.700507,1.08996,1.1956,1.265
gs_delta,100,100,30,2x128x128,0.0389834,0.861033,1.09185,1.01697,15.642
gs_epsilon,3,3,30,2x128x128,0.0864238,0.604793,1.00509,1.30991,1.241
gs_theta,100,100,30,2x128x128,0.0311151,0.746748,1.03703,1.02926,15.651
gs_iota,100,100,30,2x128x128,0.0363476,0.431148,0.908954,0.91631,15.641
gs_kappa,100,100,30,2x128x128,0.0597836,0.527869,0.972037,1.05006,15.496
sh,60,60,30,2x128x128,0.101761,0.642271,0.966083,0.924191,9.506
decay_turb,5,5,30,2x128x128,0.221024,0.487058,0.560487,0.694414,1.380
kolm_flow,5,5,30,2x128x128,0.228518,0.860052,1.19313,1.25212,1.347
macro_avg,,,,,0.093899,0.638745,0.944347,1.03545,
micro_avg,,787,,,0.0631996,0.57142,0.875758,0.928592,329.842
