dataset,num_test_trajectories,num_evaluated_trajectories,trajectory_length,shape,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29,elapsed_seconds
diff,60,60,30,2x128x128,0.063604,0.334624,0.75423,1.3239,58.700
hyp,60,60,30,2x128x128,0.0893754,0.341304,0.660608,1.04924,58.367
burgers,60,60,30,2x128x128,0.081599,0.532005,0.992599,1.29745,58.507
kdv,60,60,30,2x128x128,0.104688,0.627297,1.1913,1.57948,58.497
ks,5,5,30,2x128x128,0.0971604,1.27311,1.62111,2.07693,6.367
fisher,60,60,30,2x128x128,0.0324898,0.399366,0.660533,0.555875,58.275
gs_alpha,3,3,30,2x128x128,0.0870869,0.848772,1.22861,1.42055,5.478
gs_beta,3,3,30,2x128x128,0.138165,1.17491,1.50814,1.34765,5.488
gs_gamma,3,3,30,2x128x128,0.158257,0.776036,1.03112,1.13535,5.446
gs_delta,100,100,30,2x128x128,0.0542814,1.22695,1.07527,0.953605,95.901
gs_epsilon,3,3,30,2x128x128,0.0859362,0.590079,1.06906,1.21756,5.436
gs_theta,100,100,30,2x128x128,0.0408668,1.17894,1.05838,0.976857,95.972
gs_iota,100,100,30,2x128x128,0.0411864,1.22599,1.00776,0.925168,96.120
gs_kappa,100,100,30,2x128x128,0.0711447,1.22888,1.19724,1.01749,95.987
sh,60,60,30,2x128x128,0.0950704,0.764988,1.02732,0.987,58.231
decay_turb,5,5,30,2x128x128,0.272226,0.605903,0.729666,0.879977,6.371
kolm_flow,5,5,30,2x128x128,0.297074,0.989379,1.24643,1.22884,6.299
macro_avg,,,,,0.106483,0.830502,1.06232,1.17488,
micro_avg,,787,,,0.0679773,0.877462,0.995626,1.05614,967.598
