epoch,train_loss,val_loss,steps_per_epoch
1,0.329338,0.178688,81
2,0.111815,0.074585,81
3,0.0637954,0.0553747,81
4,0.0511327,0.0471571,81
5,0.0443753,0.0427165,81
6,0.0410353,0.0392859,81
7,0.0379073,0.0386363,81
8,0.0364499,0.0358204,81
9,0.0343356,0.0336218,81
10,0.033438,0.0331863,81
11,0.031515,0.0313735,81
12,0.0307307,0.0302511,81
13,0.0295085,0.0296583,81
14,0.0286959,0.0284428,81
15,0.0275548,0.0278429,81
16,0.0262991,0.0272844,81
17,0.0255403,0.0253507,81
18,0.024389,0.0248648,81
19,0.023645,0.0230406,81
20,0.0225316,0.0222487,81
21,0.0216364,0.0226204,81
22,0.0204172,0.0217254,81
23,0.0201413,0.0202166,81
24,0.0198091,0.0206245,81
25,0.0189776,0.0190779,81
26,0.0181765,0.0186704,81
27,0.0185519,0.0183988,81
28,0.0173554,0.0189538,81
29,0.0174595,0.0173041,81
30,0.0164322,0.0172982,81
31,0.0181901,0.017066,81
32,0.0166592,0.0169851,81
33,0.015828,0.0165134,81
34,0.0156432,0.0165214,81
35,0.0152821,0.0161556,81
36,0.015247,0.0163836,81
37,0.0145982,0.0149086,81
38,0.0143032,0.0152267,81
39,0.0142397,0.0146809,81
40,0.0143314,0.0143201,81
41,0.0133374,0.014252,81
42,0.0134422,0.0140965,81
43,0.0135822,0.0142459,81
44,0.0133043,0.0138566,81
45,0.0124786,0.0131807,81
46,0.0125032,0.0132407,81
47,0.0125911,0.0133326,81
48,0.0121701,0.0129042,81
49,0.0124288,0.0137278,81
50,0.0118232,0.0124057,81
51,0.0122494,0.0123746,81
52,0.0115522,0.0123725,81
53,0.0118026,0.0127374,81
54,0.0110131,0.0121154,81
55,0.0110637,0.0118772,81
56,0.0116829,0.0120559,81
57,0.0108106,0.0117326,81
58,0.0111175,0.0131349,81
59,0.0108323,0.0115937,81
60,0.0107775,0.011481,81
61,0.0106917,0.0113881,81
62,0.0102734,0.0108797,81
63,0.0100518,0.0108348,81
64,0.0107118,0.0123043,81
65,0.0111259,0.0151755,81
66,0.0107145,0.0108216,81
67,0.00963396,0.0105092,81
68,0.00959234,0.010648,81
69,0.00954489,0.0105635,81
70,0.00975037,0.0108037,81
71,0.00960649,0.0103939,81
72,0.00914655,0.0104308,81
73,0.00926328,0.010061,81
74,0.00921572,0.0103175,81
75,0.00923258,0.0123591,81
76,0.00956813,0.00991291,81
77,0.00870291,0.00963001,81
78,0.0089296,0.0112073,81
79,0.0139783,0.0160602,81
80,0.0106084,0.0102468,81
81,0.00886878,0.00965044,81
82,0.00891274,0.00967057,81
83,0.00828258,0.00942101,81
84,0.00832657,0.00928418,81
85,0.00915185,0.00963371,81
86,0.00826855,0.00937714,81
87,0.00815058,0.00916804,81
88,0.00814836,0.00921232,81
89,0.00829861,0.00895763,81
90,0.00832177,0.00921724,81
91,0.00803547,0.00899526,81
92,0.00823832,0.0089916,81
93,0.00771772,0.0087269,81
94,0.00778631,0.00890176,81
95,0.00784766,0.00875111,81
96,0.00792098,0.00993042,81
97,0.00761796,0.00857125,81
98,0.00728156,0.00873172,81
99,0.00761117,0.00889624,81
100,0.0077252,0.00861898,81
