dataset,source_dataset,source_file,source_num_simulations,source_num_frames,selected_sim_ids,selected_num_simulations,num_test_trajectories,num_evaluated_trajectories,trajectory_length,shape,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29,elapsed_seconds
diff,diff,diff.hdf5,60,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59",60,60,60,30,2x128x128,0.0617335,0.248342,0.412203,0.569411,13.321
hyp,hyp,hyp.hdf5,60,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59",60,60,60,30,2x128x128,0.0843524,0.236993,0.334742,0.420861,12.837
burgers,burgers,burgers.hdf5,60,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59",60,60,60,30,2x128x128,0.0756102,0.472764,0.844475,1.14286,13.047
kdv,kdv,kdv.hdf5,60,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59",60,60,60,30,2x128x128,0.0975631,0.514975,0.93362,1.15575,13.104
ks,ks_test,ks_test.hdf5,5,200,"0,1,2,3,4",5,5,5,30,2x128x128,0.0939907,1.14076,1.43651,1.89727,1.793
fisher,fisher,fisher.hdf5,60,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59",60,60,60,30,2x128x128,0.0342576,0.48052,0.597826,0.527509,12.826
gs_alpha,gs_alpha_test,gs_alpha_test.hdf5,3,100,"0,1,2",3,3,3,30,2x128x128,0.0814571,0.974698,1.23373,1.50508,1.813
gs_beta,gs_beta_test,gs_beta_test.hdf5,3,100,"0,1,2",3,3,3,30,2x128x128,0.136394,1.19176,1.38889,1.33435,1.777
gs_gamma,gs_gamma_test,gs_gamma_test.hdf5,3,100,"0,1,2",3,3,3,30,2x128x128,0.152347,0.77391,1.01328,1.13712,1.781
gs_delta,gs_delta,gs_delta.hdf5,100,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",100,100,100,30,2x128x128,0.0505819,1.34492,1.07314,0.951608,21.120
gs_epsilon,gs_epsilon_test,gs_epsilon_test.hdf5,3,100,"0,1,2",3,3,3,30,2x128x128,0.0734384,0.526062,0.909777,1.11346,1.738
gs_theta,gs_theta,gs_theta.hdf5,100,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",100,100,100,30,2x128x128,0.0395761,1.38327,1.05523,0.971314,21.114
