dataset,source_dataset,source_file,source_num_simulations,source_num_frames,selected_sim_ids,selected_num_simulations,num_test_trajectories,num_evaluated_trajectories,trajectory_length,shape,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29,elapsed_seconds
diff,diff,diff.hdf5,60,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59",60,60,60,30,2x128x128,0.0648667,0.230841,0.331902,0.429148,26.552
hyp,hyp,hyp.hdf5,60,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59",60,60,60,30,2x128x128,0.0986417,0.247481,0.312107,0.355063,26.057
burgers,burgers,burgers.hdf5,60,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59",60,60,60,30,2x128x128,0.0747728,0.475778,0.857999,1.14707,26.290
kdv,kdv,kdv.hdf5,60,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59",60,60,60,30,2x128x128,0.0960958,0.529634,0.894758,1.12997,26.350
ks,ks_test,ks_test.hdf5,5,200,"0,1,2,3,4",5,5,5,30,2x128x128,0.0966747,1.17268,1.6207,2.14094,3.067
fisher,fisher,fisher.hdf5,60,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59",60,60,60,30,2x128x128,0.0353882,0.502192,0.589475,0.495166,25.995
gs_alpha,gs_alpha_test,gs_alpha_test.hdf5,3,100,"0,1,2",3,3,3,30,2x128x128,0.0900544,0.946978,1.25819,1.49227,2.897
gs_beta,gs_beta_test,gs_beta_test.hdf5,3,100,"0,1,2",3,3,3,30,2x128x128,0.134978,1.1594,1.57212,1.4418,2.815
gs_gamma,gs_gamma_test,gs_gamma_test.hdf5,3,100,"0,1,2",3,3,3,30,2x128x128,0.151141,0.78712,1.02827,1.15966,2.842
gs_delta,gs_delta,gs_delta.hdf5,100,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",100,100,100,30,2x128x128,0.049984,1.39249,1.02702,0.881011,42.952
gs_epsilon,gs_epsilon_test,gs_epsilon_test.hdf5,3,100,"0,1,2",3,3,3,30,2x128x128,0.0772193,0.61417,1.08833,1.25193,2.843
gs_theta,gs_theta,gs_theta.hdf5,100,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",100,100,100,30,2x128x128,0.0393565,1.3868,1.01855,0.920241,42.917
gs_iota,gs_iota,gs_iota.hdf5,100,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",100,100,100,30,2x128x128,0.0388962,1.37304,1.01006,0.911423,43.071
gs_kappa,gs_kappa,gs_kappa.hdf5,100,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",100,100,100,30,2x128x128,0.0644423,1.15729,1.22373,0.963978,43.099
sh,sh,sh.hdf5,60,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59",60,60,60,30,2x128x128,0.105903,0.76827,1.13577,1.124,26.128
