dataset,source_dataset,source_file,source_num_simulations,source_num_frames,selected_sim_ids,selected_num_simulations,num_test_trajectories,num_evaluated_trajectories,trajectory_length,shape,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29,elapsed_seconds
diff,diff,diff.hdf5,60,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59",60,60,60,30,2x128x128,0.0607712,0.286792,0.528445,0.775954,9.501
hyp,hyp,hyp.hdf5,60,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59",60,60,60,30,2x128x128,0.0867498,0.303214,0.478372,0.611139,8.933
burgers,burgers,burgers.hdf5,60,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59",60,60,60,30,2x128x128,0.0770219,0.488381,0.886781,1.19472,9.291
kdv,kdv,kdv.hdf5,60,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59",60,60,60,30,2x128x128,0.0980174,0.514016,0.907835,1.14499,9.293
ks,ks_test,ks_test.hdf5,5,200,"0,1,2,3,4",5,5,5,30,2x128x128,0.086927,1.03571,1.69152,2.07164,1.289
fisher,fisher,fisher.hdf5,60,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59",60,60,60,30,2x128x128,0.0354906,0.557483,0.66098,0.55395,8.959
gs_alpha,gs_alpha_test,gs_alpha_test.hdf5,3,100,"0,1,2",3,3,3,30,2x128x128,0.0799017,0.776942,1.18933,1.34417,1.248
gs_beta,gs_beta_test,gs_beta_test.hdf5,3,100,"0,1,2",3,3,3,30,2x128x128,0.13167,1.19562,1.62823,1.62836,1.312
gs_gamma,gs_gamma_test,gs_gamma_test.hdf5,3,100,"0,1,2",3,3,3,30,2x128x128,0.147898,0.744593,0.988132,1.1009,1.272
gs_delta,gs_delta,gs_delta.hdf5,100,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",100,100,100,30,2x128x128,0.0488114,1.43748,1.10457,1.01521,14.852
