dataset,source_dataset,source_file,source_num_simulations,source_num_frames,selected_sim_ids,selected_num_simulations,num_test_trajectories,num_evaluated_trajectories,trajectory_length,shape,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29,elapsed_seconds
diff,diff,diff.hdf5,60,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59",60,60,60,30,2x128x128,0.0634735,0.231546,0.355248,0.497565,15.039
hyp,hyp,hyp.hdf5,60,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59",60,60,60,30,2x128x128,0.0977034,0.26277,0.378568,0.494456,14.540
burgers,burgers,burgers.hdf5,60,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59",60,60,60,30,2x128x128,0.0723822,0.464121,0.862531,1.15226,14.838
kdv,kdv,kdv.hdf5,60,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59",60,60,60,30,2x128x128,0.0973181,0.605502,1.11554,1.4547,14.705
ks,ks_test,ks_test.hdf5,5,200,"0,1,2,3,4",5,5,5,30,2x128x128,0.0891103,1.16621,1.55646,2.01306,1.911
fisher,fisher,fisher.hdf5,60,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59",60,60,60,30,2x128x128,0.0322006,0.444532,0.584354,0.487615,14.634
gs_alpha,gs_alpha_test,gs_alpha_test.hdf5,3,100,"0,1,2",3,3,3,30,2x128x128,0.0810584,1.02247,1.33216,1.54235,1.542
gs_beta,gs_beta_test,gs_beta_test.hdf5,3,100,"0,1,2",3,3,3,30,2x128x128,0.133913,1.07428,1.30405,1.28566,1.649
gs_gamma,gs_gamma_test,gs_gamma_test.hdf5,3,100,"0,1,2",3,3,3,30,2x128x128,0.149268,0.778373,1.01046,1.13509,1.602
gs_delta,gs_delta,gs_delta.hdf5,100,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",100,100,100,30,2x128x128,0.049879,1.41373,0.979218,0.89645,23.916
gs_epsilon,gs_epsilon_test,gs_epsilon_test.hdf5,3,100,"0,1,2",3,3,3,30,2x128x128,0.0779979,0.792514,1.12711,1.21221,1.563
gs_theta,gs_theta,gs_theta.hdf5,100,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",100,100,100,30,2x128x128,0.0392065,1.38131,0.94429,0.977492,23.966
gs_iota,gs_iota,gs_iota.hdf5,100,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",100,100,100,30,2x128x128,0.0382882,1.2746,1.0182,0.987799,23.998
gs_kappa,gs_kappa,gs_kappa.hdf5,100,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",100,100,100,30,2x128x128,0.0643954,1.29452,1.10995,1.26118,24.005
sh,sh,sh.hdf5,60,30,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59",60,60,60,30,2x128x128,0.0975692,0.810908,1.05413,1.04712,14.601
decay_turb,decay_turb_test,decay_turb_test.hdf5,5,200,"0,1,2,3,4",5,5,5,30,2x128x128,0.270431,0.611289,0.759924,0.901521,1.855
kolm_flow,kolm_flow_test,kolm_flow_test.hdf5,5,200,"0,1,2,3,4",5,5,5,30,2x128x128,0.314403,1.03019,1.27054,1.21005,1.847
macro_avg,,,,,,,,,,,0.104035,0.862287,0.986043,1.09156,
