dataset,num_test_trajectories,num_evaluated_trajectories,trajectory_length,shape,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29,elapsed_seconds
diff,60,60,30,2x128x128,0.0629418,0.255096,0.451223,0.670934,16.808
hyp,60,60,30,2x128x128,0.0941916,0.299121,0.506716,0.70473,16.326
burgers,60,60,30,2x128x128,0.0739299,0.46802,0.871615,1.19769,16.405
kdv,60,60,30,2x128x128,0.0981798,0.488786,0.784381,0.970776,16.477
ks,5,5,30,2x128x128,0.0947749,1.13257,1.44612,1.63665,2.122
fisher,60,60,30,2x128x128,0.0320107,0.442623,0.561444,0.48501,16.286
gs_alpha,3,3,30,2x128x128,0.0797279,0.837984,1.18045,1.4533,2.079
gs_beta,3,3,30,2x128x128,0.137671,1.1981,1.49006,1.48299,2.104
gs_gamma,3,3,30,2x128x128,0.148607,0.758897,1.00637,1.13728,2.048
gs_delta,100,100,30,2x128x128,0.0538026,1.43431,1.11484,1.02668,26.592
gs_epsilon,3,3,30,2x128x128,0.0803029,0.613859,1.07333,1.2083,2.064
gs_theta,100,100,30,2x128x128,0.039663,1.43527,1.10767,1.05313,26.637
gs_iota,100,100,30,2x128x128,0.0396353,1.35189,1.05741,0.996186,26.529
gs_kappa,100,100,30,2x128x128,0.0665146,1.54159,1.19954,1.02579,26.676
sh,60,60,30,2x128x128,0.100225,0.75118,1.04104,1.00693,16.266
decay_turb,5,5,30,2x128x128,0.266464,0.603565,0.637873,0.697829,2.194
kolm_flow,5,5,30,2x128x128,0.293217,0.964814,1.22882,1.23109,2.190
macro_avg,,,,,0.103639,0.857511,0.985818,1.05796,
micro_avg,,787,,,0.066406,0.96865,0.929792,0.947925,429.033
