model,step,mean_nRMSE,sample_sd_across_pde_families
PDE-TTT-S,1,0.04400559375,0.055147062456785724
PDE-TTT-S,2,0.076614475,0.09135675238431294
PDE-TTT-S,3,0.1121781375,0.11552505316206164
PDE-TTT-S,4,0.150742625,0.13440016476112668
PDE-TTT-S,5,0.18915319375,0.14964662098209666
PDE-TTT-S,6,0.22395046875000002,0.15882480105821725
PDE-TTT-S,7,0.25975947499999996,0.16203780792225622
PDE-TTT-S,8,0.29835441250000005,0.16735367952637265
PDE-TTT-S,9,0.342773875,0.18231203955302386
PDE-TTT-S,10,0.38797775,0.20008932715781388
PDE-TTT-S,11,0.432105,0.21667878742876515
PDE-TTT-S,12,0.4731153125,0.2291193867163925
PDE-TTT-S,13,0.5062095,0.23795696520505552
PDE-TTT-S,14,0.5335181250000001,0.24473206256308822
PDE-TTT-S,15,0.5628870625,0.2528647472080595
PDE-TTT-S,16,0.5936516875,0.2605050099873241
PDE-TTT-S,17,0.62005725,0.2665118451975447
PDE-TTT-S,18,0.6473793125,0.2721897222389116
PDE-TTT-S,19,0.67185775,0.27682768254746487
PDE-TTT-S,20,0.6886958750000001,0.27972590472600734
PDE-TTT-S,21,0.705605375,0.2825220658157223
PDE-TTT-S,22,0.7246729999999999,0.2856737292366941
PDE-TTT-S,23,0.738520375,0.28809668454181026
PDE-TTT-S,24,0.752015125,0.2906367266360476
PDE-TTT-S,25,0.764683375,0.29345508491848743
PDE-TTT-S,26,0.7750495625,0.2958273433476513
PDE-TTT-S,27,0.7885497499999999,0.29744768616581974
PDE-TTT-S,28,0.8028238125,0.29870075098158444
PDE-TTT-S,29,0.8136393125,0.3005882254663831
PDE-Transformer-S,1,0.0494813111176093,0.0560851292986223
PDE-Transformer-S,2,0.0892257792238767,0.0912420745214549
PDE-Transformer-S,3,0.1343452245276421,0.1154796288252204
PDE-Transformer-S,4,0.1805243124564488,0.1347953137715808
PDE-Transformer-S,5,0.2277578688847522,0.1516202888912065
PDE-Transformer-S,6,0.2745127226039767,0.1623077407103459
PDE-Transformer-S,7,0.323350823248426,0.1673362232885793
PDE-Transformer-S,8,0.3724226551875472,0.1771526880223086
PDE-Transformer-S,9,0.4197872390598058,0.1907681982957851
PDE-Transformer-S,10,0.4678607866168022,0.2033464124153994
PDE-Transformer-S,11,0.5128158866489927,0.2157298337695674
PDE-Transformer-S,12,0.5546432533860207,0.225229087386434
PDE-Transformer-S,13,0.5912834415212274,0.2314216360996789
PDE-Transformer-S,14,0.621531444862485,0.2338378288709588
PDE-Transformer-S,15,0.6530682886143525,0.2374596535367093
PDE-Transformer-S,16,0.6845291162282228,0.2415803315087906
PDE-Transformer-S,17,0.7106023098776737,0.2429306362687893
PDE-Transformer-S,18,0.7369760556270678,0.2442627114099351
PDE-Transformer-S,19,0.7616819370041293,0.2450003697900643
PDE-Transformer-S,20,0.7816506275286276,0.2447550739533764
PDE-Transformer-S,21,0.7977329920977354,0.2438898213947453
PDE-Transformer-S,22,0.8139438292880854,0.2436913886303213
PDE-Transformer-S,23,0.8263249856730301,0.2420360713107844
PDE-Transformer-S,24,0.840929878850778,0.2423262958693638
PDE-Transformer-S,25,0.8564741073548795,0.2426302449461718
PDE-Transformer-S,26,0.8703368795911471,0.2420626041236312
PDE-Transformer-S,27,0.8829845459759235,0.2407581489437774
PDE-Transformer-S,28,0.8943989990651608,0.2393876345504667
PDE-Transformer-S,29,0.9035830273230872,0.2374733736253132
