dataset,source_dataset,source_file,source_num_simulations,source_num_frames,selected_sim_ids,selected_num_simulations,num_test_trajectories,num_evaluated_trajectories,trajectory_length,shape,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29,elapsed_seconds
diff,diff,diff.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0712799,0.230747,0.296252,0.345602,10.636
hyp,hyp,hyp.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.107762,0.405389,0.571689,0.849025,10.230
burgers,burgers,burgers.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0323359,0.18907,0.323317,0.401877,10.357
kdv,kdv,kdv.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.027422,0.133403,0.348598,0.493854,10.398
ks,ks,ks.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0150318,0.289169,0.796066,1.20498,10.306
fisher,fisher,fisher.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0392839,0.29954,0.334274,0.316472,10.279
gs_alpha,gs_alpha,gs_alpha.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.029538,0.342161,0.67497,0.886999,10.403
gs_beta,gs_beta,gs_beta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.151937,1.05349,0.826405,0.989141,10.371
gs_gamma,gs_gamma,gs_gamma.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0804926,0.589278,0.933155,1.06406,10.364
gs_delta,gs_delta,gs_delta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0350484,0.763054,1.07752,1.01233,10.364
gs_epsilon,gs_epsilon,gs_epsilon.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0151616,0.185525,0.321161,0.540497,10.335
gs_theta,gs_theta,gs_theta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0382044,0.732197,1.07415,1.05796,10.360
gs_iota,gs_iota,gs_iota.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0534794,0.266526,0.674796,0.700154,10.340
gs_kappa,gs_kappa,gs_kappa.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0326594,0.243118,0.575767,0.795212,10.359
sh,sh,sh.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0854736,0.457373,0.703159,0.829582,10.219
decay_turb,decay_turb,decay_turb.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.148724,0.440355,0.382241,0.338643,10.250
kolm_flow,kolm_flow,kolm_flow.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0604595,0.269014,0.668291,1.05095,10.285
macro_avg,,,,,,,,,,,0.0602525,0.405259,0.62246,0.757491,
micro_avg,,,,,,,,153,,,0.0602525,0.405259,0.62246,0.757491,370.250
