dataset,condition,count,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29
diff,id,3,0.0262491,0.0637909,0.103692,0.12805
diff,ood_low,3,0.128961,0.401686,0.487375,0.550426
diff,ood_high,3,0.0586298,0.226764,0.297689,0.358331
hyp,id,3,0.107967,0.383962,0.551403,0.846599
hyp,ood_low,3,0.0958974,0.378498,0.550028,0.747683
hyp,ood_high,3,0.119421,0.453706,0.613636,0.952793
burgers,id,3,0.0308067,0.187104,0.322133,0.400771
burgers,ood_low,3,0.0407085,0.202345,0.336963,0.415368
burgers,ood_high,3,0.0254925,0.177761,0.310854,0.389493
kdv,id,3,0.0274227,0.133405,0.3486,0.493855
kdv,ood_low,3,0.0274433,0.133449,0.348677,0.493901
kdv,ood_high,3,0.0274,0.133356,0.348515,0.493805
ks,id,3,0.0100855,0.152606,0.625752,1.00505
ks,ood_low,3,0.0144021,0.348894,0.908375,1.56916
ks,ood_high,3,0.0206076,0.366009,0.854072,1.04073
fisher,id,3,0.0184785,0.237757,0.288224,0.279308
fisher,ood_low,3,0.0629061,0.349855,0.457795,0.443277
fisher,ood_high,3,0.0364669,0.311007,0.256803,0.226832
gs_alpha,id,3,0.0287367,0.29334,0.519964,0.744247
gs_alpha,ood_low,3,0.023289,0.207424,0.637768,0.852745
gs_alpha,ood_high,3,0.0365885,0.525718,0.867177,1.064
gs_beta,id,3,0.0959788,1.27162,0.972738,0.93945
gs_beta,ood_low,3,0.148165,1.01058,1.14702,1.16188
gs_beta,ood_high,3,0.211667,0.878276,0.359457,0.866097
gs_gamma,id,3,0.0391729,0.410042,0.773545,0.981052
gs_gamma,ood_low,3,0.0875863,0.789025,1.13411,1.25672
gs_gamma,ood_high,3,0.114719,0.568767,0.891808,0.954411
gs_delta,id,3,0.0205459,0.548687,1.09505,1.00036
gs_delta,ood_low,3,0.0471265,0.831965,1.19722,1.0864
gs_delta,ood_high,3,0.0374727,0.908509,0.940308,0.950244
gs_epsilon,id,3,0.00945788,0.066967,0.172585,0.302056
gs_epsilon,ood_low,3,0.0163416,0.246285,0.363077,0.591809
gs_epsilon,ood_high,3,0.0196854,0.243324,0.427822,0.727628
gs_theta,id,3,0.0157259,0.580006,1.01449,1.00355
gs_theta,ood_low,3,0.0478329,0.888332,1.15741,1.1339
gs_theta,ood_high,3,0.0510542,0.728253,1.05056,1.03645
gs_iota,id,3,0.0461678,0.179195,0.577521,0.601714
gs_iota,ood_low,3,0.0656161,0.397939,0.835092,0.877132
gs_iota,ood_high,3,0.0486542,0.222442,0.611773,0.621615
gs_kappa,id,3,0.0227001,0.143803,0.462816,0.712985
gs_kappa,ood_low,3,0.03787,0.312335,0.661507,0.820696
gs_kappa,ood_high,3,0.037408,0.273217,0.602976,0.851954
sh,id,3,0.0750601,0.426005,0.690894,0.733715
sh,ood_low,3,0.110189,0.582409,0.842444,1.11688
sh,ood_high,3,0.0711719,0.363703,0.576138,0.638147
decay_turb,id,3,0.134809,0.397453,0.325428,0.280501
decay_turb,ood_low,3,0.199227,0.617379,0.579226,0.498893
decay_turb,ood_high,3,0.112135,0.306232,0.24207,0.236533
kolm_flow,id,3,0.0443877,0.300417,0.716246,1.08272
kolm_flow,ood_low,3,0.107903,0.342447,0.781243,1.08471
kolm_flow,ood_high,3,0.0290881,0.164178,0.507384,0.985419
macro_avg,id,51,0.0443383,0.339774,0.562416,0.678587
micro_avg,id,51,0.0443383,0.339774,0.562416,0.678587
macro_avg,ood_low,51,0.0742038,0.472991,0.730902,0.864799
micro_avg,ood_low,51,0.0742038,0.472991,0.730902,0.864799
macro_avg,ood_high,51,0.0622153,0.403013,0.574061,0.729087
micro_avg,ood_high,51,0.0622153,0.403013,0.574061,0.729087
