dataset,sim_id,condition,seed,parameter_overrides,numerical_overrides,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29
diff,0,id,2026072201,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.012399864383041859,0.04207632318139076,0.09084339439868927,0.1296444684267044
diff,1,id,2026072202,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.06336624920368195,0.12884610891342163,0.18094897270202637,0.19316338002681732
diff,2,id,2026072203,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.002981253433972597,0.02045014128088951,0.03928331285715103,0.06134346127510071
diff,3,ood_low,2026072201,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.08468259871006012,0.2993830740451813,0.4070005714893341,0.47790801525115967
diff,4,ood_low,2026072202,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.27630552649497986,0.698641836643219,0.7098295092582703,0.7341039776802063
diff,5,ood_low,2026072203,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.025894390419125557,0.20703308284282684,0.3452962338924408,0.4392646551132202
diff,6,ood_high,2026072201,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.04461139068007469,0.15209810435771942,0.1872478872537613,0.22505606710910797
diff,7,ood_high,2026072202,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.10269621759653091,0.312470406293869,0.3444788455963135,0.37631064653396606
diff,8,ood_high,2026072203,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.028581708669662476,0.21572460234165192,0.3613411486148834,0.4736265540122986
hyp,0,id,2026072201,"{""Hyper-Diffusivity"": 0.000275}",{},0.07571698725223541,0.2979641258716583,0.3653077781200409,0.38947612047195435
hyp,1,id,2026072202,"{""Hyper-Diffusivity"": 0.000275}",{},0.20795804262161255,0.600336492061615,0.9099496603012085,1.7088085412979126
hyp,2,id,2026072203,"{""Hyper-Diffusivity"": 0.000275}",{},0.04022539034485817,0.2535853981971741,0.3789527714252472,0.441510945558548
hyp,3,ood_low,2026072201,"{""Hyper-Diffusivity"": 4.75e-05}",{},0.07644657790660858,0.3946059048175812,0.5167738199234009,0.5453795194625854
hyp,4,ood_low,2026072202,"{""Hyper-Diffusivity"": 4.75e-05}",{},0.1788167655467987,0.4588584005832672,0.6766568422317505,1.151516318321228
hyp,5,ood_low,2026072203,"{""Hyper-Diffusivity"": 4.75e-05}",{},0.03242889791727066,0.28202947974205017,0.45665204524993896,0.5461522936820984
hyp,6,ood_high,2026072201,"{""Hyper-Diffusivity"": 0.0005250000000000001}",{},0.08559451252222061,0.30880504846572876,0.34562385082244873,0.3685866594314575
