dataset,source_dataset,source_file,source_num_simulations,source_num_frames,selected_sim_ids,selected_num_simulations,num_test_trajectories,num_evaluated_trajectories,trajectory_length,shape,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29,elapsed_seconds
diff,diff,diff.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0748263,0.249809,0.296097,0.342007,10.313
hyp,hyp,hyp.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.114081,0.411441,0.579711,0.724591,9.882
burgers,burgers,burgers.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0313663,0.197524,0.338202,0.426815,9.995
kdv,kdv,kdv.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0383632,0.182205,0.417331,0.542151,10.013
ks,ks,ks.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0197765,0.256231,0.622754,0.852172,9.964
fisher,fisher,fisher.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0387907,0.237674,0.254985,0.26226,9.986
gs_alpha,gs_alpha,gs_alpha.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0362419,0.399037,0.727729,0.936314,10.047
gs_beta,gs_beta,gs_beta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.159147,1.53651,1.47762,1.46378,10.047
gs_gamma,gs_gamma,gs_gamma.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0863379,0.616465,0.940467,1.04361,10.053
gs_delta,gs_delta,gs_delta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0355768,0.85242,1.07902,1.00604,10.022
gs_epsilon,gs_epsilon,gs_epsilon.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0179191,0.215803,0.412182,0.645065,10.050
gs_theta,gs_theta,gs_theta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0359097,0.761809,1.08691,1.06954,10.023
gs_iota,gs_iota,gs_iota.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0569727,0.304192,0.686033,0.708931,10.051
gs_kappa,gs_kappa,gs_kappa.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0330155,0.245198,0.599022,0.843517,10.050
sh,sh,sh.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0856807,0.471146,0.776585,0.872884,9.990
decay_turb,decay_turb,decay_turb.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.157367,0.431913,0.381124,0.351084,9.962
kolm_flow,kolm_flow,kolm_flow.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0658235,0.314293,0.706562,1.13597,10.004
macro_avg,,,,,,,,,,,0.0639527,0.45198,0.669548,0.778043,
micro_avg,,,,,,,,153,,,0.0639527,0.45198,0.669548,0.778043,358.637
