dataset,condition,count,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29
diff,id,3,0.0190057,0.101736,0.105416,0.130267
diff,ood_low,3,0.134132,0.411588,0.504173,0.569477
diff,ood_high,3,0.0713415,0.236104,0.278702,0.326277
hyp,id,3,0.111795,0.39934,0.576095,0.727703
hyp,ood_low,3,0.109041,0.362303,0.52248,0.658424
hyp,ood_high,3,0.121406,0.472679,0.640557,0.787646
burgers,id,3,0.0298278,0.195697,0.337177,0.4259
burgers,ood_low,3,0.0392507,0.211566,0.351668,0.43901
burgers,ood_high,3,0.0250204,0.185308,0.325761,0.415534
kdv,id,3,0.0383638,0.182207,0.417334,0.542152
kdv,ood_low,3,0.0383833,0.182269,0.417424,0.542204
kdv,ood_high,3,0.0383425,0.182138,0.417235,0.542096
ks,id,3,0.011037,0.154756,0.606551,1.03187
ks,ood_low,3,0.0220397,0.184542,0.334173,0.425216
ks,ood_high,3,0.0262529,0.429396,0.927538,1.09943
fisher,id,3,0.0116598,0.125296,0.155671,0.205382
fisher,ood_low,3,0.0720547,0.352579,0.434482,0.420341
fisher,ood_high,3,0.0326576,0.235147,0.174802,0.161056
gs_alpha,id,3,0.03647,0.381295,0.592217,0.846527
gs_alpha,ood_low,3,0.0307945,0.218486,0.616926,0.804624
gs_alpha,ood_high,3,0.0414613,0.597329,0.974045,1.15779
gs_beta,id,3,0.0938313,1.30486,0.94227,0.953357
gs_beta,ood_low,3,0.144193,1.01912,1.13544,1.12309
gs_beta,ood_high,3,0.239418,2.28554,2.35515,2.3149
gs_gamma,id,3,0.0426127,0.438385,0.786218,0.940155
gs_gamma,ood_low,3,0.091167,0.788968,1.11752,1.2337
gs_gamma,ood_high,3,0.125234,0.622042,0.91766,0.956986
gs_delta,id,3,0.0221198,0.717692,1.09633,0.993608
gs_delta,ood_low,3,0.0471847,0.961713,1.20223,1.07832
gs_delta,ood_high,3,0.0374259,0.877854,0.938493,0.946197
gs_epsilon,id,3,0.0140119,0.150468,0.303498,0.502181
gs_epsilon,ood_low,3,0.0187192,0.310941,0.511093,0.805358
gs_epsilon,ood_high,3,0.0210263,0.185999,0.421955,0.627655
gs_theta,id,3,0.0177829,0.656151,1.04999,1.04863
gs_theta,ood_low,3,0.045438,0.923752,1.15512,1.12487
gs_theta,ood_high,3,0.0445081,0.705524,1.0556,1.03513
gs_iota,id,3,0.04958,0.225622,0.58905,0.614542
gs_iota,ood_low,3,0.0606273,0.416377,0.845611,0.892091
gs_iota,ood_high,3,0.0607106,0.270575,0.623437,0.620161
gs_kappa,id,3,0.0232682,0.131576,0.500666,0.766838
gs_kappa,ood_low,3,0.0382575,0.315688,0.658775,0.850529
gs_kappa,ood_high,3,0.0375209,0.28833,0.637626,0.913184
sh,id,3,0.0683368,0.418845,0.647833,0.719562
sh,ood_low,3,0.122074,0.632739,1.10466,1.25185
sh,ood_high,3,0.0666311,0.361853,0.577259,0.64724
decay_turb,id,3,0.142101,0.376878,0.320055,0.295287
decay_turb,ood_low,3,0.20833,0.605504,0.569748,0.510732
decay_turb,ood_high,3,0.12167,0.313357,0.25357,0.247234
kolm_flow,id,3,0.050293,0.407442,0.800918,1.22732
kolm_flow,ood_low,3,0.114696,0.350533,0.774121,1.069
kolm_flow,ood_high,3,0.0324814,0.184903,0.544647,1.11159
macro_avg,id,51,0.0460057,0.374603,0.578076,0.704193
micro_avg,id,51,0.0460057,0.374603,0.578076,0.704193
macro_avg,ood_low,51,0.0786108,0.485216,0.72092,0.811696
micro_avg,ood_low,51,0.0786108,0.485216,0.72092,0.811696
macro_avg,ood_high,51,0.0672417,0.496122,0.709649,0.818241
micro_avg,ood_high,51,0.0672417,0.496122,0.709649,0.818241
