dataset,sim_id,condition,seed,parameter_overrides,numerical_overrides,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29
diff,0,id,2026072201,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.020769920200109482,0.09670516848564148,0.13658852875232697,0.15997333824634552
diff,1,id,2026072202,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.028797682374715805,0.14866460859775543,0.06462110579013824,0.06521826982498169
diff,2,id,2026072203,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.007449423894286156,0.05983734130859375,0.11503953486680984,0.16560812294483185
diff,3,ood_low,2026072201,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.11879196017980576,0.35143837332725525,0.4471418857574463,0.5045101642608643
diff,4,ood_low,2026072202,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.24943265318870544,0.6277893781661987,0.6517309546470642,0.6864818930625916
diff,5,ood_low,2026072203,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.034170784056186676,0.25553572177886963,0.4136449098587036,0.5174391269683838
diff,6,ood_high,2026072201,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.03078524023294449,0.08677011728286743,0.13185764849185944,0.18407750129699707
diff,7,ood_high,2026072202,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.16227084398269653,0.472048282623291,0.4708065688610077,0.5044828057289124
diff,8,ood_high,2026072203,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.02096840925514698,0.14949366450309753,0.23344296216964722,0.2902695834636688
hyp,0,id,2026072201,"{""Hyper-Diffusivity"": 0.000275}",{},0.07288207113742828,0.27516210079193115,0.39404723048210144,0.47787946462631226
hyp,1,id,2026072202,"{""Hyper-Diffusivity"": 0.000275}",{},0.22265906631946564,0.6854498386383057,0.9583231210708618,1.2343178987503052
hyp,2,id,2026072203,"{""Hyper-Diffusivity"": 0.000275}",{},0.03984404355287552,0.23740921914577484,0.37591353058815,0.4709121882915497
hyp,3,ood_low,2026072201,"{""Hyper-Diffusivity"": 4.75e-05}",{},0.05859053507447243,0.2861795723438263,0.445156067609787,0.5448846220970154
hyp,4,ood_low,2026072202,"{""Hyper-Diffusivity"": 4.75e-05}",{},0.23901382088661194,0.5669971704483032,0.7368820309638977,0.9437879323959351
hyp,5,ood_low,2026072203,"{""Hyper-Diffusivity"": 4.75e-05}",{},0.029519228264689445,0.23373112082481384,0.3854019343852997,0.4865982234477997
hyp,6,ood_high,2026072201,"{""Hyper-Diffusivity"": 0.0005250000000000001}",{},0.08397708088159561,0.3152090311050415,0.4049050509929657,0.4727450907230377
