dataset,condition,count,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29
diff,id,3,0.0254067,0.072745,0.108629,0.120182
diff,ood_low,3,0.127785,0.393209,0.471887,0.529969
diff,ood_high,3,0.0642072,0.25957,0.37093,0.463976
hyp,id,3,0.112919,0.427999,0.645773,1.03621
hyp,ood_low,3,0.107203,0.410412,0.636557,0.95355
hyp,ood_high,3,0.122917,0.500677,0.721413,1.16721
burgers,id,3,0.032167,0.20461,0.361068,0.478583
burgers,ood_low,3,0.0417761,0.217238,0.372194,0.488134
burgers,ood_high,3,0.0272288,0.198251,0.354664,0.473798
kdv,id,3,0.0296955,0.178563,0.450659,0.635853
kdv,ood_low,3,0.0297152,0.178588,0.450684,0.63582
kdv,ood_high,3,0.029674,0.178536,0.450632,0.63589
ks,id,3,0.0123602,0.335263,0.929249,1.24083
ks,ood_low,3,0.0145684,0.260847,1.02966,1.33791
ks,ood_high,3,0.021135,0.358469,0.851966,1.0731
fisher,id,3,0.0138158,0.197489,0.225226,0.183395
fisher,ood_low,3,0.0637194,0.336564,0.414144,0.375212
fisher,ood_high,3,0.0315436,0.266141,0.204841,0.160603
gs_alpha,id,3,0.0295111,0.493572,0.837836,1.05938
gs_alpha,ood_low,3,0.0231408,0.240283,0.544524,0.788395
gs_alpha,ood_high,3,0.0376667,0.711026,1.10376,1.26865
gs_beta,id,3,0.100189,1.33497,1.05101,1.00892
gs_beta,ood_low,3,0.150418,0.981972,1.15358,1.21828
gs_beta,ood_high,3,0.216352,0.621557,0.60867,0.588245
gs_gamma,id,3,0.0454173,0.388574,0.786333,0.925184
gs_gamma,ood_low,3,0.0917481,0.779848,1.13631,1.26123
gs_gamma,ood_high,3,0.118777,0.565862,0.881468,0.956515
gs_delta,id,3,0.0186548,0.559799,1.09657,1.00943
gs_delta,ood_low,3,0.0460853,0.832408,1.20277,1.09029
gs_delta,ood_high,3,0.0369464,0.916096,0.956688,0.965673
gs_epsilon,id,3,0.010364,0.155375,0.281876,0.400537
gs_epsilon,ood_low,3,0.0159931,0.177211,0.297389,0.512977
gs_epsilon,ood_high,3,0.0213779,0.353757,0.495786,0.826717
gs_theta,id,3,0.0162416,0.591921,1.02229,1.0396
gs_theta,ood_low,3,0.0479829,0.875909,1.1404,1.10946
gs_theta,ood_high,3,0.0529351,0.745616,1.03946,1.03994
gs_iota,id,3,0.0430278,0.174647,0.590844,0.61597
gs_iota,ood_low,3,0.0629333,0.394137,0.831457,0.870159
gs_iota,ood_high,3,0.0440147,0.216075,0.622041,0.655287
gs_kappa,id,3,0.0259356,0.186326,0.488747,0.731793
gs_kappa,ood_low,3,0.0438245,0.386541,0.710854,0.860565
gs_kappa,ood_high,3,0.033952,0.214621,0.541283,0.806646
sh,id,3,0.0825205,0.483541,0.820446,0.895682
sh,ood_low,3,0.119216,0.667127,1.19581,1.36694
sh,ood_high,3,0.0722903,0.409253,0.691778,0.770291
decay_turb,id,3,0.140081,0.408757,0.365676,0.345556
decay_turb,ood_low,3,0.208763,0.629236,0.587315,0.531457
decay_turb,ood_high,3,0.110762,0.336497,0.304067,0.311364
kolm_flow,id,3,0.0484998,0.524746,0.943959,1.18841
kolm_flow,ood_low,3,0.110317,0.464927,0.943683,1.20533
kolm_flow,ood_high,3,0.0352276,0.293802,0.788612,1.16793
macro_avg,id,51,0.0462827,0.395229,0.647423,0.759736
micro_avg,id,51,0.0462827,0.395229,0.647423,0.759736
macro_avg,ood_low,51,0.0767758,0.483909,0.771718,0.890334
micro_avg,ood_low,51,0.0767758,0.483909,0.771718,0.890334
macro_avg,ood_high,51,0.0633534,0.420342,0.646357,0.784225
micro_avg,ood_high,51,0.0633534,0.420342,0.646357,0.784225
