dataset,sim_id,condition,seed,parameter_overrides,numerical_overrides,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29
diff,0,id,2026072201,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.012394813820719719,0.05344453454017639,0.08108300715684891,0.09797008335590363
diff,1,id,2026072202,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.05637031048536301,0.11481037735939026,0.1789451539516449,0.1930871605873108
diff,2,id,2026072203,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.007454894483089447,0.04998021572828293,0.06586016714572906,0.06948909163475037
diff,3,ood_low,2026072201,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.08432749658823013,0.29353711009025574,0.3851635158061981,0.4394565522670746
diff,4,ood_low,2026072202,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.27590295672416687,0.6939246654510498,0.7000312805175781,0.7228316068649292
diff,5,ood_low,2026072203,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.02312476374208927,0.1921650469303131,0.3304672837257385,0.4276181161403656
diff,6,ood_high,2026072201,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.04565945640206337,0.18435917794704437,0.2765396237373352,0.37200602889060974
diff,7,ood_high,2026072202,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.11463057994842529,0.3487321138381958,0.4316440224647522,0.4986100196838379
diff,8,ood_high,2026072203,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.03233158588409424,0.2456197738647461,0.4046056866645813,0.5213116407394409
hyp,0,id,2026072201,"{""Hyper-Diffusivity"": 0.000275}",{},0.07874058187007904,0.31225907802581787,0.3753911554813385,0.38602668046951294
hyp,1,id,2026072202,"{""Hyper-Diffusivity"": 0.000275}",{},0.21791642904281616,0.7103142142295837,1.1894553899765015,2.304410219192505
hyp,2,id,2026072203,"{""Hyper-Diffusivity"": 0.000275}",{},0.042099665850400925,0.26142317056655884,0.3724721372127533,0.4182037115097046
hyp,3,ood_low,2026072201,"{""Hyper-Diffusivity"": 4.75e-05}",{},0.07216235250234604,0.386487752199173,0.5172116756439209,0.5392875671386719
hyp,4,ood_low,2026072202,"{""Hyper-Diffusivity"": 4.75e-05}",{},0.21769601106643677,0.5719409584999084,0.9593055844306946,1.8117060661315918
hyp,5,ood_low,2026072203,"{""Hyper-Diffusivity"": 4.75e-05}",{},0.03175020217895508,0.272808313369751,0.4331551194190979,0.5096566677093506
hyp,6,ood_high,2026072201,"{""Hyper-Diffusivity"": 0.0005250000000000001}",{},0.08872032165527344,0.33104756474494934,0.37236151099205017,0.39817947149276733
