dataset,condition,count,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29
diff,id,3,0.0232892,0.0813305,0.123587,0.144551
diff,ood_low,3,0.111936,0.412972,0.498137,0.559404
diff,ood_high,3,0.0548785,0.219594,0.289924,0.345454
hyp,id,3,0.108575,0.44783,1.10384,1.99783
hyp,ood_low,3,0.104062,0.454419,0.979306,1.59119
hyp,ood_high,3,0.117456,0.485258,1.11211,2.1302
burgers,id,3,0.035038,0.196587,0.332964,0.420451
burgers,ood_low,3,0.0450256,0.211722,0.347233,0.433657
burgers,ood_high,3,0.0293038,0.186915,0.321758,0.410039
kdv,id,3,0.033953,0.147568,0.313265,0.453711
kdv,ood_low,3,0.0339719,0.147624,0.313378,0.453818
kdv,ood_high,3,0.0339324,0.147507,0.313142,0.453593
ks,id,3,0.0132052,0.216688,0.675329,1.09236
ks,ood_low,3,0.0230185,0.413409,1.10809,1.59495
ks,ood_high,3,0.0283392,0.454851,0.942228,1.09198
fisher,id,3,0.0187592,0.225712,0.299704,0.283742
fisher,ood_low,3,0.0640065,0.353993,0.466095,0.45804
fisher,ood_high,3,0.0377331,0.291114,0.273455,0.230213
gs_alpha,id,3,0.0325264,0.282885,0.512069,0.775557
gs_alpha,ood_low,3,0.0272628,0.275411,0.686894,0.946469
gs_alpha,ood_high,3,0.0389207,0.486103,0.827167,1.02249
gs_beta,id,3,0.102101,1.27576,0.96314,0.973768
gs_beta,ood_low,3,0.151292,0.97834,1.13936,1.14159
gs_beta,ood_high,3,0.219702,1.05957,1.47163,2.05452
gs_gamma,id,3,0.0372239,0.464666,0.835316,1.00738
gs_gamma,ood_low,3,0.090546,0.792174,1.11824,1.24803
gs_gamma,ood_high,3,0.110705,0.461149,0.691612,0.840064
gs_delta,id,3,0.0244216,0.741708,1.11258,1.01924
gs_delta,ood_low,3,0.0494956,0.965729,1.21326,1.09892
gs_delta,ood_high,3,0.0373184,0.905036,0.950681,0.941595
gs_epsilon,id,3,0.0151077,0.109709,0.253118,0.432517
gs_epsilon,ood_low,3,0.0201862,0.276361,0.404515,0.646435
gs_epsilon,ood_high,3,0.0232708,0.238343,0.406434,0.557251
gs_theta,id,3,0.0179955,0.686997,1.04806,1.03474
gs_theta,ood_low,3,0.0450556,0.924378,1.16352,1.14085
gs_theta,ood_high,3,0.0465161,0.714526,1.05085,1.02217
gs_iota,id,3,0.047497,0.26007,0.686554,0.692621
gs_iota,ood_low,3,0.0615206,0.428777,0.866989,0.89507
gs_iota,ood_high,3,0.0519592,0.299256,0.712751,0.715878
gs_kappa,id,3,0.0276677,0.193284,0.560906,0.802666
gs_kappa,ood_low,3,0.0444395,0.33651,0.701733,0.860795
gs_kappa,ood_high,3,0.0416465,0.303252,0.696467,0.951801
sh,id,3,0.062783,0.38734,0.632446,0.708383
sh,ood_low,3,0.0751895,0.512558,1.1666,1.06887
sh,ood_high,3,0.0898577,0.410411,0.630639,0.707332
decay_turb,id,3,0.138224,0.410869,0.336257,0.275453
decay_turb,ood_low,3,0.200212,0.620286,0.584161,0.501253
decay_turb,ood_high,3,0.116899,0.321873,0.267745,0.262155
kolm_flow,id,3,0.0661606,0.414309,0.772984,1.17383
kolm_flow,ood_low,3,0.136048,0.391612,0.859673,1.14037
kolm_flow,ood_high,3,0.0451073,0.291519,0.627253,1.02126
macro_avg,id,51,0.0473252,0.384901,0.621301,0.781693
micro_avg,id,51,0.0473252,0.384901,0.621301,0.781693
macro_avg,ood_low,51,0.0754864,0.499781,0.80101,0.928218
micro_avg,ood_low,51,0.0754864,0.499781,0.80101,0.928218
macro_avg,ood_high,51,0.0660909,0.428016,0.68152,0.868118
micro_avg,ood_high,51,0.0660909,0.428016,0.68152,0.868118
