dataset,sim_id,condition,seed,parameter_overrides,numerical_overrides,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29
diff,0,id,2026072201,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.013438213616609573,0.036211829632520676,0.06317516416311264,0.0881243646144867
diff,1,id,2026072202,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.04580393061041832,0.12506937980651855,0.16939154267311096,0.16864626109600067
diff,2,id,2026072203,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.010625333525240421,0.08271025121212006,0.13819576799869537,0.1768820881843567
diff,3,ood_low,2026072201,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.07249375432729721,0.2945401966571808,0.3897891044616699,0.4524334669113159
diff,4,ood_low,2026072202,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.2272280901670456,0.6757612228393555,0.6823363900184631,0.7101265788078308
diff,5,ood_low,2026072203,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.03608577325940132,0.2686145007610321,0.4222853481769562,0.5156524181365967
diff,6,ood_high,2026072201,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.043226275593042374,0.16547344624996185,0.22671379148960114,0.28225207328796387
diff,7,ood_high,2026072202,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.10138695687055588,0.3462374806404114,0.39304542541503906,0.4189993441104889
diff,8,ood_high,2026072203,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.020022178068757057,0.1470705270767212,0.2500130534172058,0.3351096212863922
hyp,0,id,2026072201,"{""Hyper-Diffusivity"": 0.000275}",{},0.07331110537052155,0.28610843420028687,0.5697887539863586,1.0110660791397095
hyp,1,id,2026072202,"{""Hyper-Diffusivity"": 0.000275}",{},0.2148314267396927,0.8352727293968201,2.308854579925537,4.234347343444824
hyp,2,id,2026072203,"{""Hyper-Diffusivity"": 0.000275}",{},0.037583399564027786,0.2221098393201828,0.43288615345954895,0.7480636239051819
hyp,3,ood_low,2026072201,"{""Hyper-Diffusivity"": 4.75e-05}",{},0.07143884152173996,0.2646156847476959,0.4544152617454529,0.790733814239502
hyp,4,ood_low,2026072202,"{""Hyper-Diffusivity"": 4.75e-05}",{},0.21857953071594238,0.8922476172447205,2.070948362350464,3.309324264526367
hyp,5,ood_low,2026072203,"{""Hyper-Diffusivity"": 4.75e-05}",{},0.02216884307563305,0.20639246702194214,0.41255348920822144,0.6735225319862366
hyp,6,ood_high,2026072201,"{""Hyper-Diffusivity"": 0.0005250000000000001}",{},0.08596989512443542,0.3587416112422943,0.6408124566078186,1.1282751560211182
hyp,7,ood_high,2026072202,"{""Hyper-Diffusivity"": 0.0005250000000000001}",{},0.20970317721366882,0.8185456991195679,2.215167284011841,4.41587495803833
hyp,8,ood_high,2026072203,"{""Hyper-Diffusivity"": 0.0005250000000000001}",{},0.056694068014621735,0.2784867286682129,0.48035603761672974,0.8464401364326477
burgers,0,id,2026072201,"{""Viscosity"": 0.000175}",{},0.06487429887056351,0.175034299492836,0.29005277156829834,0.37171661853790283
burgers,1,id,2026072202,"{""Viscosity"": 0.000175}",{},0.031437091529369354,0.32328110933303833,0.4671396017074585,0.5254854559898376
burgers,2,id,2026072203,"{""Viscosity"": 0.000175}",{},0.008802729658782482,0.09144694358110428,0.24169929325580597,0.3641507923603058
burgers,3,ood_low,2026072201,"{""Viscosity"": 4.75e-05}","{""Sub Steps"": 100}",0.0937323346734047,0.20370377600193024,0.3109508454799652,0.38820716738700867
burgers,4,ood_low,2026072202,"{""Viscosity"": 4.75e-05}","{""Sub Steps"": 100}",0.03253760188817978,0.33935070037841797,0.4868321716785431,0.545691728591919
