dataset,condition,count,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29
diff,id,3,0.0159961,0.127818,0.272816,0.421188
diff,ood_low,3,0.0905469,0.374316,0.425035,0.45483
diff,ood_high,3,0.0716327,0.358907,0.682579,1.04142
hyp,id,3,0.118647,0.68511,1.63282,2.68071
hyp,ood_low,3,0.104907,0.537404,1.1646,1.86638
hyp,ood_high,3,0.128807,0.795851,1.85769,3.0993
burgers,id,3,0.0366569,0.224386,0.398896,0.549087
burgers,ood_low,3,0.0462758,0.235983,0.408139,0.555307
burgers,ood_high,3,0.0314135,0.218663,0.39419,0.547169
kdv,id,3,0.0393222,0.206551,0.439121,0.694027
kdv,ood_low,3,0.0393383,0.206576,0.439148,0.693977
kdv,ood_high,3,0.0393046,0.206524,0.439091,0.694084
ks,id,3,0.0194788,0.419134,1.09713,1.38631
ks,ood_low,3,0.0297017,0.500088,1.2649,1.71473
ks,ood_high,3,0.03087,0.444687,0.970772,1.19742
fisher,id,3,0.0204154,0.232229,0.34227,0.402185
fisher,ood_low,3,0.0525628,0.269651,0.390498,0.467383
fisher,ood_high,3,0.0431827,0.349979,0.373359,0.415912
gs_alpha,id,3,0.0417442,0.375646,0.978276,1.25995
gs_alpha,ood_low,3,0.0447379,0.614955,1.2411,1.36322
gs_alpha,ood_high,3,0.0423126,0.350752,0.826054,1.01044
gs_beta,id,3,0.0928474,1.21059,1.0009,1.05197
gs_beta,ood_low,3,0.144727,0.99313,1.15555,1.23049
gs_beta,ood_high,3,0.221995,1.19893,1.92986,2.86797
gs_gamma,id,3,0.0425586,0.487649,0.976803,1.15439
gs_gamma,ood_low,3,0.10204,0.813012,1.14881,1.2743
gs_gamma,ood_high,3,0.104863,0.554136,0.92802,1.04953
gs_delta,id,3,0.0265593,0.713782,1.14652,1.04403
gs_delta,ood_low,3,0.0536076,0.972692,1.22692,1.10732
gs_delta,ood_high,3,0.0358354,0.89063,0.953409,0.958158
gs_epsilon,id,3,0.0238131,0.180531,0.371456,0.577708
gs_epsilon,ood_low,3,0.032772,0.370394,0.524499,0.782539
gs_epsilon,ood_high,3,0.0260921,0.210686,0.347102,0.473756
gs_theta,id,3,0.0248968,0.756988,1.05143,1.0283
gs_theta,ood_low,3,0.0505502,0.999211,1.17273,1.13522
gs_theta,ood_high,3,0.0479085,0.744633,1.06843,1.03697
gs_iota,id,3,0.0341267,0.294985,0.790198,0.807397
gs_iota,ood_low,3,0.0533899,0.421694,0.920667,0.963936
gs_iota,ood_high,3,0.0378817,0.34353,0.793984,0.796109
gs_kappa,id,3,0.0509223,0.304237,0.72181,0.913061
gs_kappa,ood_low,3,0.0623476,0.304393,0.74688,0.907737
gs_kappa,ood_high,3,0.0600018,0.452401,0.829358,1.03371
sh,id,3,0.0425224,0.545141,0.722225,0.773947
sh,ood_low,3,0.0958202,1.20497,1.98696,1.5753
sh,ood_high,3,0.0547497,0.26227,0.456178,0.557287
decay_turb,id,3,0.139113,0.477358,0.46728,0.45398
decay_turb,ood_low,3,0.198467,0.654737,0.62326,0.561078
decay_turb,ood_high,3,0.121041,0.428694,0.518243,0.643034
kolm_flow,id,3,0.0712147,0.719368,1.11709,1.25016
kolm_flow,ood_low,3,0.138668,0.59147,1.13761,1.17736
kolm_flow,ood_high,3,0.0534374,0.593972,1.17977,1.48381
macro_avg,id,51,0.0494609,0.468324,0.795708,0.967554
micro_avg,id,51,0.0494609,0.468324,0.795708,0.967554
macro_avg,ood_low,51,0.0788506,0.59204,0.939841,1.04889
micro_avg,ood_low,51,0.0788506,0.59204,0.939841,1.04889
macro_avg,ood_high,51,0.0677252,0.494426,0.85577,1.11212
micro_avg,ood_high,51,0.0677252,0.494426,0.85577,1.11212
