dataset,sim_id,condition,seed,parameter_overrides,numerical_overrides,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29
diff,0,id,2026072201,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.014904465526342392,0.14656533300876617,0.30369070172309875,0.45502814650535583
diff,1,id,2026072202,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.023200364783406258,0.1397121399641037,0.3129146099090576,0.5027549266815186
diff,2,id,2026072203,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.009883483871817589,0.09717573970556259,0.20184150338172913,0.3057815730571747
diff,3,ood_low,2026072201,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.05725491791963577,0.2583729326725006,0.3129861056804657,0.34207120537757874
diff,4,ood_low,2026072202,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.18594248592853546,0.665664792060852,0.663045346736908,0.6686691045761108
diff,5,ood_low,2026072203,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.02844333089888096,0.19891002774238586,0.2990727126598358,0.35374879837036133
diff,6,ood_high,2026072201,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.05044031888246536,0.3344903886318207,0.6575095057487488,1.0017210245132446
diff,7,ood_high,2026072202,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.13364684581756592,0.44875553250312805,0.7838671207427979,1.1912941932678223
diff,8,ood_high,2026072203,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.03081095591187477,0.2934747040271759,0.6063591837882996,0.9312421679496765
hyp,0,id,2026072201,"{""Hyper-Diffusivity"": 0.000275}",{},0.0791756883263588,0.3822607696056366,0.7526585459709167,1.2083499431610107
hyp,1,id,2026072202,"{""Hyper-Diffusivity"": 0.000275}",{},0.23609291017055511,1.4314749240875244,3.686532735824585,6.05488395690918
hyp,2,id,2026072203,"{""Hyper-Diffusivity"": 0.000275}",{},0.04067360237240791,0.24159546196460724,0.45926153659820557,0.778899073600769
hyp,3,ood_low,2026072201,"{""Hyper-Diffusivity"": 4.75e-05}",{},0.05577888339757919,0.24618905782699585,0.5201112627983093,0.882655680179596
hyp,4,ood_low,2026072202,"{""Hyper-Diffusivity"": 4.75e-05}",{},0.2419431060552597,1.2064688205718994,2.6229336261749268,4.09898567199707
