dataset,source_dataset,source_file,source_num_simulations,source_num_frames,selected_sim_ids,selected_num_simulations,num_test_trajectories,num_evaluated_trajectories,trajectory_length,shape,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29,elapsed_seconds
diff,diff,diff.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0658378,0.240697,0.312134,0.36482,5.484
hyp,hyp,hyp.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.108783,0.392324,0.623704,1.02369,5.040
burgers,burgers,burgers.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0366633,0.199021,0.346594,0.454922,5.148
kdv,kdv,kdv.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0399763,0.18378,0.299501,0.460951,5.154
ks,ks,ks.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.024288,0.366879,0.878999,1.25742,5.086
fisher,fisher,fisher.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0380389,0.279962,0.376915,0.330599,5.095
gs_alpha,gs_alpha,gs_alpha.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0311986,0.436216,0.809544,1.0202,5.151
gs_beta,gs_beta,gs_beta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.154872,1.18658,0.941954,1.17813,5.103
gs_gamma,gs_gamma,gs_gamma.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0851999,0.599505,0.964524,1.08956,5.226
gs_delta,gs_delta,gs_delta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0448741,0.910322,1.0884,1.01742,5.129
gs_epsilon,gs_epsilon,gs_epsilon.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0210726,0.254149,0.391031,0.608235,5.182
gs_theta,gs_theta,gs_theta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0446415,0.778536,1.08519,1.07005,5.160
gs_iota,gs_iota,gs_iota.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0611273,0.332324,0.761746,0.779315,5.168
gs_kappa,gs_kappa,gs_kappa.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0391298,0.281947,0.627158,0.849944,5.109
sh,sh,sh.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.095539,0.489971,0.829804,0.889233,5.073
decay_turb,decay_turb,decay_turb.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.155777,0.434875,0.387955,0.371212,5.013
kolm_flow,kolm_flow,kolm_flow.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0855947,0.480138,0.936721,1.14989,5.038
macro_avg,,,,,,,,,,,0.0666243,0.461601,0.685993,0.818564,
micro_avg,,,,,,,,153,,,0.0666243,0.461601,0.685993,0.818564,275.475
