dataset,condition,count,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29
diff,id,3,0.0302939,0.0814312,0.120232,0.131916
diff,ood_low,3,0.116299,0.402656,0.481075,0.537884
diff,ood_high,3,0.0509207,0.238003,0.335093,0.424661
hyp,id,3,0.107586,0.344672,0.502304,0.920933
hyp,ood_low,3,0.102209,0.430024,0.869802,1.37358
hyp,ood_high,3,0.116554,0.402277,0.499006,0.776553
burgers,id,3,0.0352625,0.197248,0.345555,0.453945
burgers,ood_low,3,0.0452775,0.212327,0.359157,0.465891
burgers,ood_high,3,0.0294498,0.187489,0.33507,0.444929
kdv,id,3,0.0399769,0.183782,0.299505,0.460955
kdv,ood_low,3,0.0399929,0.183842,0.299625,0.461084
kdv,ood_high,3,0.0399592,0.183717,0.299373,0.460814
ks,id,3,0.0175641,0.215465,0.692997,1.14189
ks,ood_low,3,0.0238913,0.387929,0.974957,1.53304
ks,ood_high,3,0.0314086,0.497244,0.969042,1.09731
fisher,id,3,0.0171389,0.211779,0.339589,0.275842
fisher,ood_low,3,0.063631,0.337141,0.448372,0.458211
fisher,ood_high,3,0.0333469,0.290965,0.342783,0.257743
gs_alpha,id,3,0.0306319,0.451502,0.788224,1.02704
gs_alpha,ood_low,3,0.0242092,0.201691,0.570332,0.812701
gs_alpha,ood_high,3,0.0387548,0.655454,1.07008,1.22087
gs_beta,id,3,0.0942327,1.27196,0.958034,0.971526
gs_beta,ood_low,3,0.149895,0.976069,1.14202,1.15395
gs_beta,ood_high,3,0.220489,1.3117,0.725805,1.40891
gs_gamma,id,3,0.040224,0.439235,0.882789,1.04852
gs_gamma,ood_low,3,0.0864002,0.777634,1.10057,1.25054
gs_gamma,ood_high,3,0.128976,0.581645,0.910213,0.969643
gs_delta,id,3,0.0344809,0.802661,1.10357,1.00509
gs_delta,ood_low,3,0.0567338,0.981977,1.21796,1.09997
gs_delta,ood_high,3,0.0434077,0.94633,0.943666,0.947183
gs_epsilon,id,3,0.0171594,0.183564,0.334357,0.492464
gs_epsilon,ood_low,3,0.0193152,0.221094,0.337826,0.575455
gs_epsilon,ood_high,3,0.0267432,0.35779,0.500911,0.756788
gs_theta,id,3,0.0288232,0.70071,1.04656,1.05623
gs_theta,ood_low,3,0.0503287,0.922619,1.16313,1.12033
gs_theta,ood_high,3,0.0547725,0.712278,1.04589,1.03359
gs_iota,id,3,0.0556903,0.265022,0.684265,0.692156
gs_iota,ood_low,3,0.0683804,0.435217,0.892925,0.919492
gs_iota,ood_high,3,0.0593112,0.296733,0.70805,0.726296
gs_kappa,id,3,0.029476,0.218677,0.561722,0.799988
gs_kappa,ood_low,3,0.0444496,0.379111,0.711969,0.892238
gs_kappa,ood_high,3,0.0434638,0.248053,0.607785,0.857606
sh,id,3,0.0802374,0.412693,0.65506,0.757356
sh,ood_low,3,0.10853,0.576453,1.13041,1.13447
sh,ood_high,3,0.0978493,0.480765,0.703937,0.775872
decay_turb,id,3,0.142532,0.386343,0.326724,0.309176
decay_turb,ood_low,3,0.20583,0.595061,0.555819,0.495378
decay_turb,ood_high,3,0.118968,0.32322,0.281323,0.309081
kolm_flow,id,3,0.0691019,0.530704,0.938178,1.1393
kolm_flow,ood_low,3,0.139201,0.450684,0.915975,1.16159
kolm_flow,ood_high,3,0.0484809,0.459027,0.956008,1.14878
macro_avg,id,51,0.0512007,0.405732,0.622333,0.746137
micro_avg,id,51,0.0512007,0.405732,0.622333,0.746137
macro_avg,ood_low,51,0.0790926,0.498325,0.77482,0.908577
micro_avg,ood_low,51,0.0790926,0.498325,0.77482,0.908577
macro_avg,ood_high,51,0.0695797,0.480746,0.660825,0.800978
micro_avg,ood_high,51,0.0695797,0.480746,0.660825,0.800978
