dataset,sim_id,condition,seed,parameter_overrides,numerical_overrides,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29
diff,0,id,2026072201,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.012678111903369427,0.022353729233145714,0.03696923330426216,0.0506807342171669
diff,1,id,2026072202,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.06873196363449097,0.14949125051498413,0.21072816848754883,0.208976149559021
diff,2,id,2026072203,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.00947172474116087,0.07244867086410522,0.11299963295459747,0.13609196245670319
diff,3,ood_low,2026072201,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.0735853910446167,0.27020788192749023,0.3598751723766327,0.4183199405670166
diff,4,ood_low,2026072202,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.24046075344085693,0.6759616136550903,0.6758729815483093,0.7015659213066101
diff,5,ood_low,2026072203,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.03485004976391792,0.26179996132850647,0.4074777066707611,0.49376729130744934
diff,6,ood_high,2026072201,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.04845169559121132,0.19481760263442993,0.2815556228160858,0.3694372773170471
diff,7,ood_high,2026072202,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.08367512375116348,0.36584025621414185,0.4511699676513672,0.5232384204864502
diff,8,ood_high,2026072203,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.020635349676012993,0.15335166454315186,0.272553414106369,0.3813064396381378
hyp,0,id,2026072201,"{""Hyper-Diffusivity"": 0.000275}",{},0.06990363448858261,0.21119628846645355,0.2755778133869171,0.3539861738681793
hyp,1,id,2026072202,"{""Hyper-Diffusivity"": 0.000275}",{},0.21672338247299194,0.620161771774292,0.8770173192024231,1.8505269289016724
hyp,2,id,2026072203,"{""Hyper-Diffusivity"": 0.000275}",{},0.03613196685910225,0.2026577889919281,0.35431548953056335,0.5582868456840515
hyp,3,ood_low,2026072201,"{""Hyper-Diffusivity"": 4.75e-05}",{},0.06723752617835999,0.2479572296142578,0.33412277698516846,0.4170614778995514
hyp,4,ood_low,2026072202,"{""Hyper-Diffusivity"": 4.75e-05}",{},0.217243492603302,0.843601644039154,1.9116032123565674,3.171785354614258
hyp,5,ood_low,2026072203,"{""Hyper-Diffusivity"": 4.75e-05}",{},0.022145627066493034,0.19851422309875488,0.36367854475975037,0.531888484954834
hyp,6,ood_high,2026072201,"{""Hyper-Diffusivity"": 0.0005250000000000001}",{},0.08311402052640915,0.28869548439979553,0.33013299107551575,0.38523322343826294
hyp,7,ood_high,2026072202,"{""Hyper-Diffusivity"": 0.0005250000000000001}",{},0.21120606362819672,0.6591169238090515,0.7748402953147888,1.3159335851669312
hyp,8,ood_high,2026072203,"{""Hyper-Diffusivity"": 0.0005250000000000001}",{},0.05534191057085991,0.25901713967323303,0.3920452892780304,0.6284922361373901
burgers,0,id,2026072201,"{""Viscosity"": 0.000175}",{},0.06567628681659698,0.18214119970798492,0.3156519830226898,0.4342987835407257
burgers,1,id,2026072202,"{""Viscosity"": 0.000175}",{},0.03075738437473774,0.3163920044898987,0.4730556607246399,0.559343695640564
burgers,2,id,2026072203,"{""Viscosity"": 0.000175}",{},0.009353892877697945,0.09320948272943497,0.2479560822248459,0.3681935667991638
burgers,3,ood_low,2026072201,"{""Viscosity"": 4.75e-05}","{""Sub Steps"": 100}",0.0945633128285408,0.20990008115768433,0.3340594172477722,0.44703659415245056
burgers,4,ood_low,2026072202,"{""Viscosity"": 4.75e-05}","{""Sub Steps"": 100}",0.0319213941693306,0.33340418338775635,0.4936824142932892,0.580034613609314
burgers,5,ood_low,2026072203,"{""Viscosity"": 4.75e-05}","{""Sub Steps"": 100}",0.009347712621092796,0.09367690980434418,0.2497299164533615,0.3706032633781433
burgers,6,ood_high,2026072201,"{""Viscosity"": 0.00031499999999999996}",{},0.04919755086302757,0.16936033964157104,0.3045508861541748,0.4251164197921753
burgers,7,ood_high,2026072202,"{""Viscosity"": 0.00031499999999999996}",{},0.029788432642817497,0.30034536123275757,0.4549630284309387,0.5443235635757446
burgers,8,ood_high,2026072203,"{""Viscosity"": 0.00031499999999999996}",{},0.009363394230604172,0.09276019781827927,0.2456952929496765,0.3653455674648285
kdv,0,id,2026072201,"{""Domain Extent"": 75.0, ""Viscosity"": 0.000525}",{},0.09037773311138153,0.28552955389022827,0.3676878809928894,0.4606814682483673
kdv,1,id,2026072202,"{""Domain Extent"": 75.0, ""Viscosity"": 0.000525}",{},0.020812608301639557,0.19831030070781708,0.411322683095932,0.750708818435669
kdv,2,id,2026072203,"{""Domain Extent"": 75.0, ""Viscosity"": 0.000525}",{},0.008740244433283806,0.06750716269016266,0.11950379610061646,0.17147459089756012
kdv,3,ood_low,2026072201,"{""Domain Extent"": 75.0, ""Viscosity"": 4.75e-05}",{},0.09042429178953171,0.2856438457965851,0.36782461404800415,0.4608350992202759
kdv,4,ood_low,2026072202,"{""Domain Extent"": 75.0, ""Viscosity"": 4.75e-05}",{},0.02081412449479103,0.19837355613708496,0.41154783964157104,0.7509435415267944
kdv,5,ood_low,2026072203,"{""Domain Extent"": 75.0, ""Viscosity"": 4.75e-05}",{},0.00874029565602541,0.06750746816396713,0.11950377374887466,0.17147447168827057
kdv,6,ood_high,2026072201,"{""Domain Extent"": 75.0, ""Viscosity"": 0.0010500000000000002}",{},0.09032656997442245,0.28540459275245667,0.36753854155540466,0.4605140686035156
kdv,7,ood_high,2026072202,"{""Domain Extent"": 75.0, ""Viscosity"": 0.0010500000000000002}",{},0.0208109263330698,0.198240727186203,0.4110756814479828,0.7504521608352661
kdv,8,ood_high,2026072203,"{""Domain Extent"": 75.0, ""Viscosity"": 0.0010500000000000002}",{},0.0087401969358325,0.06750691682100296,0.11950405687093735,0.17147521674633026
ks,0,id,2026072201,"{""Domain Extent"": 70.0}",{},0.018660496920347214,0.21821625530719757,0.784272313117981,1.203985333442688
ks,1,id,2026072202,"{""Domain Extent"": 70.0}",{},0.01842249371111393,0.20489884912967682,0.5922738909721375,1.0292495489120483
ks,2,id,2026072203,"{""Domain Extent"": 70.0}",{},0.015609321184456348,0.22327983379364014,0.702444314956665,1.1924471855163574
ks,3,ood_low,2026072201,"{""Domain Extent"": 9.5}",{},0.02207825891673565,0.325674444437027,0.8651202917098999,1.5627880096435547
ks,4,ood_low,2026072202,"{""Domain Extent"": 9.5}",{},0.025747040286660194,0.43731820583343506,1.0066602230072021,1.5065211057662964
ks,5,ood_low,2026072203,"{""Domain Extent"": 9.5}",{},0.0238486360758543,0.40079349279403687,1.0530891418457031,1.5298157930374146
ks,6,ood_high,2026072201,"{""Domain Extent"": 136.5}",{},0.03572975471615791,0.4939650595188141,1.0707974433898926,1.2380156517028809
ks,7,ood_high,2026072202,"{""Domain Extent"": 136.5}",{},0.02915467694401741,0.4954633414745331,0.8882930874824524,0.9468809366226196
ks,8,ood_high,2026072203,"{""Domain Extent"": 136.5}",{},0.029341382905840874,0.5023040175437927,0.9480363726615906,1.1070420742034912
fisher,0,id,2026072201,"{""Diffusivity"": 0.01005, ""Reactivity"": 10.0}",{},0.027150485664606094,0.07188087701797485,0.19479256868362427,0.019786672666668892
fisher,1,id,2026072202,"{""Diffusivity"": 0.01005, ""Reactivity"": 10.0}",{},0.018873846158385277,0.5056300163269043,0.6660072207450867,0.48179569840431213
fisher,2,id,2026072203,"{""Diffusivity"": 0.01005, ""Reactivity"": 10.0}",{},0.005392478778958321,0.057827141135931015,0.1579677164554596,0.3259445130825043
fisher,3,ood_low,2026072201,"{""Diffusivity"": 9.5e-05, ""Reactivity"": 10.0}",{},0.11724291741847992,0.28279703855514526,0.25310662388801575,0.22071926295757294
fisher,4,ood_low,2026072202,"{""Diffusivity"": 9.5e-05, ""Reactivity"": 10.0}",{},0.06517241150140762,0.6274948120117188,0.8306975960731506,0.6909483671188354
fisher,5,ood_low,2026072203,"{""Diffusivity"": 9.5e-05, ""Reactivity"": 10.0}",{},0.00847763754427433,0.10113176703453064,0.2613120675086975,0.46296456456184387
fisher,6,ood_high,2026072201,"{""Diffusivity"": 0.021, ""Reactivity"": 10.0}",{},0.03436264023184776,0.1865004152059555,0.31158050894737244,0.10186014324426651
fisher,7,ood_high,2026072202,"{""Diffusivity"": 0.021, ""Reactivity"": 10.0}",{},0.060833100229501724,0.6449741125106812,0.6194226741790771,0.44330894947052
fisher,8,ood_high,2026072203,"{""Diffusivity"": 0.021, ""Reactivity"": 10.0}",{},0.004844819661229849,0.041420869529247284,0.09734699875116348,0.22805842757225037
gs_alpha,0,id,2026072201,"{""Feed Rate"": 0.008, ""Kill Rate"": 0.046}",{},0.03159778192639351,0.4414535462856293,0.7681475877761841,0.9823450446128845
gs_alpha,1,id,2026072202,"{""Feed Rate"": 0.008, ""Kill Rate"": 0.046}",{},0.030262714251875877,0.4427213966846466,0.8279657959938049,1.0351998805999756
gs_alpha,2,id,2026072203,"{""Feed Rate"": 0.008, ""Kill Rate"": 0.046}",{},0.03003523126244545,0.4703306555747986,0.7685595750808716,1.063561201095581
gs_alpha,3,ood_low,2026072201,"{""Feed Rate"": 0.0076, ""Kill Rate"": 0.046}",{},0.02590698003768921,0.23704871535301208,0.523342490196228,0.7443720698356628
gs_alpha,4,ood_low,2026072202,"{""Feed Rate"": 0.0076, ""Kill Rate"": 0.046}",{},0.023571722209453583,0.1610017865896225,0.5126368999481201,0.7450715899467468
gs_alpha,5,ood_low,2026072203,"{""Feed Rate"": 0.0076, ""Kill Rate"": 0.046}",{},0.023148810490965843,0.20702284574508667,0.6750175356864929,0.9486590623855591
gs_alpha,6,ood_high,2026072201,"{""Feed Rate"": 0.008400000000000001, ""Kill Rate"": 0.046}",{},0.04024072363972664,0.6280518770217896,1.0322685241699219,1.2235028743743896
gs_alpha,7,ood_high,2026072202,"{""Feed Rate"": 0.008400000000000001, ""Kill Rate"": 0.046}",{},0.03654982149600983,0.7147762775421143,1.1600892543792725,1.2379528284072876
gs_alpha,8,ood_high,2026072203,"{""Feed Rate"": 0.008400000000000001, ""Kill Rate"": 0.046}",{},0.039473775774240494,0.6235332489013672,1.0178686380386353,1.2011479139328003
gs_beta,0,id,2026072201,"{""Feed Rate"": 0.02, ""Kill Rate"": 0.046}",{},0.08719060570001602,1.187151312828064,1.0342787504196167,0.961270272731781
gs_beta,1,id,2026072202,"{""Feed Rate"": 0.02, ""Kill Rate"": 0.046}",{},0.09173154830932617,1.432003140449524,0.9506840109825134,1.0553081035614014
gs_beta,2,id,2026072203,"{""Feed Rate"": 0.02, ""Kill Rate"": 0.046}",{},0.10377605259418488,1.1967228651046753,0.8891395926475525,0.89799964427948
gs_beta,3,ood_low,2026072201,"{""Feed Rate"": 0.019, ""Kill Rate"": 0.046}",{},0.1642821580171585,0.9580068588256836,1.1000585556030273,1.2605235576629639
