model,epoch,train_loss,val_loss,elapsed_minutes
P (Plain Attention),1,0.0808105,0.0351042,25.6
P (Plain Attention),2,0.0276257,0.0216974,25.6
P (Plain Attention),3,0.0187663,0.0164265,25.6
P (Plain Attention),4,0.0152253,0.0135951,25.6
P (Plain Attention),5,0.0133174,0.0128107,25.6
P (Plain Attention),6,0.0120211,0.0111205,25.6
P (Plain Attention),7,0.0114375,0.0103244,25.6
P (Plain Attention),8,0.0100096,0.00992429,25.6
P (Plain Attention),9,0.00919207,0.00987251,25.6
P (Plain Attention),10,0.00827626,0.00778151,25.6
P (Plain Attention),11,0.00799945,0.00733747,25.6
P (Plain Attention),12,0.00908369,0.00736941,25.6
P (Plain Attention),13,0.00702876,0.00753688,25.6
P (Plain Attention),14,0.00712806,0.00731707,25.6
P (Plain Attention),15,0.0062897,0.00596277,25.6
P (Plain Attention),16,0.00604978,0.00586156,25.6
P (Plain Attention),17,0.00586392,0.00567306,25.6
P (Plain Attention),18,0.00575583,0.00536775,25.6
P (Plain Attention),19,0.00525409,0.00629951,25.6
P (Plain Attention),20,0.00517858,0.00518337,25.6
P (Plain Attention),21,0.00507645,0.00512463,25.6
P (Plain Attention),22,0.00471702,0.00497653,25.6
P (Plain Attention),23,0.00461788,0.00446233,25.6
P (Plain Attention),24,0.00457497,0.00443332,25.6
P (Plain Attention),25,0.00480751,0.00440777,25.6
P (Plain Attention),26,0.00439902,0.00417076,25.6
P (Plain Attention),27,0.00512393,0.00425894,25.6
P (Plain Attention),28,0.00439084,0.00885755,25.6
P (Plain Attention),29,0.00420615,0.0036015,25.6
P (Plain Attention),30,0.0038632,0.00560236,25.6
P (Plain Attention),31,0.00370514,0.00392791,25.6
P (Plain Attention),32,0.00363938,0.0036534,25.6
P (Plain Attention),33,0.00344121,0.00327666,25.6
P (Plain Attention),34,0.00344705,0.00348311,25.6
P (Plain Attention),35,0.00332781,0.00309289,25.6
P (Plain Attention),36,0.0032426,0.00322586,25.6
P (Plain Attention),37,0.00308601,0.0031959,25.6
P (Plain Attention),38,0.00305155,0.00380873,25.6
P (Plain Attention),39,0.00307188,0.00284772,25.6
P (Plain Attention),40,0.00306326,0.00357039,25.6
P (Plain Attention),41,0.00287111,0.00286528,25.6
P (Plain Attention),42,0.00283803,0.00274538,25.6
P (Plain Attention),43,0.00273043,0.00273614,25.6
P (Plain Attention),44,0.00268799,0.00308371,25.6
P (Plain Attention),45,0.00261939,0.00260583,25.6
P (Plain Attention),46,0.00260128,0.00296525,25.6
P (Plain Attention),47,0.00256788,0.00267352,25.6
P (Plain Attention),48,0.00251939,0.00242157,25.6
P (Plain Attention),49,0.00349993,0.00257674,25.6
P (Plain Attention),50,0.00234918,0.00239548,25.6
P (Plain Attention),51,0.00231161,0.00257422,25.6
P (Plain Attention),52,0.00350897,0.00260154,25.6
P (Plain Attention),53,0.00226543,0.00227353,25.6
P (Plain Attention),54,0.00227828,0.00223542,25.6
P (Plain Attention),55,0.00218652,0.0026473,25.6
P (Plain Attention),56,0.00217292,0.00304929,25.6
P (Plain Attention),57,0.00219258,0.00247934,25.6
P (Plain Attention),58,0.00208347,0.002082,25.6
P (Plain Attention),59,0.00228617,0.00210438,25.6
P (Plain Attention),60,0.00204501,0.00220976,25.6
P (Plain Attention),61,0.00203414,0.00257972,25.6
P (Plain Attention),62,0.00206818,0.00215406,25.6
P (Plain Attention),63,0.00195783,0.00190327,25.6
P (Plain Attention),64,0.00195747,0.00250179,25.6
P (Plain Attention),65,0.00185769,0.00207774,25.6
P (Plain Attention),66,0.00197544,0.00192628,25.6
P (Plain Attention),67,0.00225263,0.00221309,25.6
P (Plain Attention),68,0.00178139,0.00197044,25.6
P (Plain Attention),69,0.00183269,0.0018146,25.6
P (Plain Attention),70,0.00172345,0.00184929,25.6
P (Plain Attention),71,0.00258649,0.00351687,25.6
P (Plain Attention),72,0.00178325,0.00166984,25.6
P (Plain Attention),73,0.00172498,0.00229807,25.6
P (Plain Attention),74,0.00167822,0.00166217,25.6
P (Plain Attention),75,0.0016452,0.00165271,25.6
P (Plain Attention),76,0.00164479,0.00187402,25.6
P (Plain Attention),77,0.00163891,0.00274808,25.6
P (Plain Attention),78,0.00164617,0.00159408,25.6
P (Plain Attention),79,0.00154736,0.00164634,25.6
P (Plain Attention),80,0.0015428,0.00189171,25.6
