dataset,source_dataset,source_file,source_num_simulations,source_num_frames,selected_sim_ids,selected_num_simulations,num_test_trajectories,num_evaluated_trajectories,trajectory_length,shape,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29,elapsed_seconds
diff,diff,diff.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0812762,0.293786,0.489964,0.713111,5.718
hyp,hyp,hyp.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.122893,0.602026,1.18421,1.86,5.165
burgers,burgers,burgers.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0389615,0.242862,0.436696,0.600811,5.309
kdv,kdv,kdv.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0432327,0.173778,0.378075,0.543556,5.246
ks,ks,ks.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0361291,0.473877,0.966543,1.24076,5.143
fisher,fisher,fisher.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0415864,0.308619,0.384752,0.381039,5.171
gs_alpha,gs_alpha,gs_alpha.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0424113,0.378706,0.906874,1.12746,5.255
gs_beta,gs_beta,gs_beta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.155368,0.913987,1.36555,1.48532,5.266
gs_gamma,gs_gamma,gs_gamma.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0835399,0.61143,0.947874,1.06673,5.301
gs_delta,gs_delta,gs_delta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0325802,0.961757,1.10577,1.02216,5.245
gs_epsilon,gs_epsilon,gs_epsilon.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0259393,0.25361,0.438326,0.65708,5.277
gs_theta,gs_theta,gs_theta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0349825,0.850354,1.05895,1.02381,5.297
gs_iota,gs_iota,gs_iota.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0602752,0.452398,0.80566,0.822199,5.298
gs_kappa,gs_kappa,gs_kappa.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0407347,0.342411,0.756221,0.939636,5.235
sh,sh,sh.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0900573,0.477256,0.847079,0.848233,5.202
decay_turb,decay_turb,decay_turb.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.159575,0.465461,0.451878,0.462982,5.175
kolm_flow,kolm_flow,kolm_flow.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.104123,0.482473,0.865795,1.1577,5.226
macro_avg,,,,,,,,,,,0.0702156,0.487341,0.78766,0.938388,
micro_avg,,,,,,,,153,,,0.0702156,0.487341,0.78766,0.938388,277.788
