dataset,condition,count,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29
diff,id,3,0.0317478,0.176764,0.368963,0.581775
diff,ood_low,3,0.118685,0.423123,0.536113,0.629247
diff,ood_high,3,0.093396,0.281472,0.564816,0.928311
hyp,id,3,0.120052,0.596626,1.21904,1.92833
hyp,ood_low,3,0.121483,0.531534,0.956496,1.43607
hyp,ood_high,3,0.127145,0.67792,1.3771,2.21562
burgers,id,3,0.0374937,0.241336,0.435858,0.600134
burgers,ood_low,3,0.0468303,0.254209,0.445046,0.605855
burgers,ood_high,3,0.0325606,0.233041,0.429183,0.596442
kdv,id,3,0.0432334,0.17378,0.378078,0.543559
kdv,ood_low,3,0.0432558,0.173839,0.378184,0.543655
kdv,ood_high,3,0.0432088,0.173716,0.377963,0.543454
ks,id,3,0.0220404,0.448196,1.06923,1.2974
ks,ood_low,3,0.0432896,0.395752,0.77588,1.156
ks,ood_high,3,0.0430575,0.577683,1.05451,1.26888
fisher,id,3,0.0212306,0.260098,0.359387,0.350751
fisher,ood_low,3,0.0614514,0.349676,0.511141,0.515914
fisher,ood_high,3,0.0420773,0.316081,0.283727,0.276454
gs_alpha,id,3,0.0430024,0.332056,0.860204,1.13043
gs_alpha,ood_low,3,0.0371497,0.49676,1.12681,1.26029
gs_alpha,ood_high,3,0.0470817,0.307303,0.733611,0.991661
gs_beta,id,3,0.0948384,1.18365,0.999832,1.0687
gs_beta,ood_low,3,0.147579,1.0848,1.1251,1.09422
gs_beta,ood_high,3,0.223685,0.473508,1.97172,2.29305
gs_gamma,id,3,0.0468803,0.540491,0.848632,1.00257
gs_gamma,ood_low,3,0.0940648,0.794877,1.16154,1.26952
gs_gamma,ood_high,3,0.109674,0.498922,0.833456,0.928097
gs_delta,id,3,0.0224271,0.930622,1.12539,1.00494
gs_delta,ood_low,3,0.0464458,1.09241,1.23485,1.10634
gs_delta,ood_high,3,0.0288678,0.862238,0.957062,0.955208
gs_epsilon,id,3,0.0234283,0.234811,0.441766,0.662955
gs_epsilon,ood_low,3,0.0332691,0.383264,0.54019,0.813895
gs_epsilon,ood_high,3,0.0211206,0.142755,0.333021,0.49439
gs_theta,id,3,0.0308129,0.89893,1.05781,1.01703
gs_theta,ood_low,3,0.0471315,0.98089,1.13019,1.0701
gs_theta,ood_high,3,0.027003,0.67124,0.988868,0.984298
gs_iota,id,3,0.0527067,0.392642,0.73679,0.754387
gs_iota,ood_low,3,0.0640339,0.549361,0.965398,0.998129
gs_iota,ood_high,3,0.0640852,0.415191,0.714791,0.714082
gs_kappa,id,3,0.030324,0.271126,0.714299,0.903179
gs_kappa,ood_low,3,0.0498634,0.390083,0.762802,0.906465
gs_kappa,ood_high,3,0.0420166,0.366025,0.791563,1.00926
sh,id,3,0.0731825,0.386558,0.656523,0.733263
sh,ood_low,3,0.135451,0.724886,1.36984,1.23171
sh,ood_high,3,0.0615388,0.320324,0.514879,0.579725
decay_turb,id,3,0.14001,0.411781,0.39538,0.415107
decay_turb,ood_low,3,0.20982,0.622593,0.587036,0.542205
decay_turb,ood_high,3,0.128897,0.36201,0.373218,0.431633
kolm_flow,id,3,0.0873364,0.577853,0.875178,1.19354
kolm_flow,ood_low,3,0.162615,0.524733,0.901434,1.15741
kolm_flow,ood_high,3,0.0624183,0.344832,0.820774,1.12215
macro_avg,id,51,0.0541615,0.47396,0.737786,0.893413
micro_avg,id,51,0.0541615,0.47396,0.737786,0.893413
macro_avg,ood_low,51,0.0860245,0.57487,0.853413,0.961002
micro_avg,ood_low,51,0.0860245,0.57487,0.853413,0.961002
macro_avg,ood_high,51,0.0704608,0.413192,0.77178,0.960748
micro_avg,ood_high,51,0.0704608,0.413192,0.77178,0.960748
