dataset,sim_id,condition,seed,parameter_overrides,numerical_overrides,nRMSE_1,nRMSE_10,nRMSE_20,nRMSE_29
diff,0,id,2026072201,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.020328853279352188,0.12257358431816101,0.24475574493408203,0.3657636344432831
diff,1,id,2026072202,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.06098604202270508,0.2960693836212158,0.6561248302459717,1.0785220861434937
diff,2,id,2026072203,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.013928370550274849,0.11164893209934235,0.20600920915603638,0.30104056000709534
diff,3,ood_low,2026072201,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.08129004389047623,0.32549744844436646,0.44055700302124023,0.5196747779846191
diff,4,ood_low,2026072202,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.2364291101694107,0.6680170893669128,0.7454172372817993,0.8568143248558044
diff,5,ood_low,2026072203,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.03833487629890442,0.2758556008338928,0.4223652184009552,0.5112518668174744
diff,6,ood_high,2026072201,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.042557649314403534,0.16770599782466888,0.3353133797645569,0.5352730751037598
diff,7,ood_high,2026072202,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.21755792200565338,0.5097529888153076,1.0081610679626465,1.6846431493759155
diff,8,ood_high,2026072203,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.020072465762495995,0.16695688664913177,0.3509731888771057,0.5650179982185364
hyp,0,id,2026072201,"{""Hyper-Diffusivity"": 0.000275}",{},0.08575885742902756,0.3911046087741852,0.6565655469894409,1.0118547677993774
hyp,1,id,2026072202,"{""Hyper-Diffusivity"": 0.000275}",{},0.2256012111902237,1.0694059133529663,2.429375648498535,3.933760643005371
hyp,2,id,2026072203,"{""Hyper-Diffusivity"": 0.000275}",{},0.04879484325647354,0.32936665415763855,0.5711802840232849,0.839359700679779
hyp,3,ood_low,2026072201,"{""Hyper-Diffusivity"": 4.75e-05}",{},0.08419811725616455,0.4584659934043884,0.6736297607421875,0.9320786595344543
hyp,4,ood_low,2026072202,"{""Hyper-Diffusivity"": 4.75e-05}",{},0.2321898341178894,0.784152090549469,1.6161860227584839,2.58146071434021
hyp,5,ood_low,2026072203,"{""Hyper-Diffusivity"": 4.75e-05}",{},0.048061106353998184,0.35198479890823364,0.5796722769737244,0.7946832180023193
hyp,6,ood_high,2026072201,"{""Hyper-Diffusivity"": 0.0005250000000000001}",{},0.0916677862405777,0.39721783995628357,0.6975234150886536,1.1190305948257446
hyp,7,ood_high,2026072202,"{""Hyper-Diffusivity"": 0.0005250000000000001}",{},0.22954049706459045,1.2889115810394287,2.8414015769958496,4.613260746002197
hyp,8,ood_high,2026072203,"{""Hyper-Diffusivity"": 0.0005250000000000001}",{},0.06022704020142555,0.3476293087005615,0.5923646688461304,0.9145553708076477
burgers,0,id,2026072201,"{""Viscosity"": 0.000175}",{},0.062377143651247025,0.22024810314178467,0.3825433850288391,0.5239887237548828
burgers,1,id,2026072202,"{""Viscosity"": 0.000175}",{},0.037503842264413834,0.37575772404670715,0.6202436685562134,0.8119198679924011
burgers,2,id,2026072203,"{""Viscosity"": 0.000175}",{},0.012600135989487171,0.12800291180610657,0.30478736758232117,0.4644937515258789
