dataset,source_dataset,source_file,source_num_simulations,source_num_frames,selected_sim_ids,selected_num_simulations,num_test_trajectories,num_evaluated_trajectories,trajectory_length,shape,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29,elapsed_seconds
diff,diff,diff.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0684631,0.118147,0.148769,0.16939,0.185945,0.200319,0.212929,0.22402,0.233841,0.242621,0.250549,0.257787,0.264472,0.270721,0.27663,0.282277,0.287722,0.293012,0.298179,0.303252,0.308249,0.313186,0.318074,0.322924,0.327744,0.332542,0.337325,0.342099,0.346873,5.539
hyp,hyp,hyp.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.110394,0.173241,0.216591,0.249988,0.277644,0.301655,0.323155,0.342801,0.361009,0.378067,0.394193,0.40957,0.424355,0.438693,0.45272,0.466562,0.480342,0.494177,0.508181,0.522466,0.537142,0.552317,0.568099,0.584597,0.601918,0.620173,0.639475,0.659938,0.681685,5.110
burgers,burgers,burgers.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.03694,0.0532045,0.0709684,0.0897047,0.10881,0.128433,0.147546,0.166116,0.183449,0.200025,0.21557,0.230595,0.245316,0.259473,0.273255,0.286548,0.299667,0.312649,0.325356,0.337464,0.34867,0.358877,0.368358,0.377506,0.386428,0.395327,0.403876,0.412319,0.420514,5.205
kdv,kdv,kdv.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.037558,0.0508767,0.063132,0.0751119,0.0872701,0.0999395,0.113426,0.128048,0.144009,0.161367,0.179844,0.199235,0.219382,0.239998,0.260928,0.28215,0.303728,0.325646,0.347956,0.370717,0.393889,0.417525,0.441656,0.466262,0.491211,0.516344,0.54151,0.566645,0.5918,5.186
ks,ks,ks.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.023157,0.0425449,0.0652096,0.0924191,0.12474,0.161481,0.201581,0.243449,0.285349,0.327886,0.372318,0.419845,0.469646,0.517843,0.56232,0.605794,0.649001,0.690072,0.728225,0.7645,0.800161,0.836528,0.874223,0.912253,0.950437,0.989377,1.03019,1.07188,1.11006,5.136
fisher,fisher,fisher.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0439063,0.0760357,0.107047,0.137963,0.169046,0.200304,0.231677,0.262947,0.293727,0.3232,0.34949,0.370662,0.385921,0.395957,0.402116,0.405558,0.407115,0.407436,0.40703,0.406273,0.405382,0.404473,0.403573,0.402636,0.401541,0.400127,0.398228,0.395705,0.392445,5.114
gs_alpha,gs_alpha,gs_alpha.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.033002,0.0628917,0.0967304,0.132647,0.167888,0.201846,0.233445,0.265242,0.300108,0.336037,0.368313,0.399357,0.432096,0.46816,0.506496,0.546298,0.58446,0.62051,0.653876,0.684687,0.715264,0.747252,0.780548,0.812292,0.839563,0.861325,0.878465,0.893739,0.91033,5.216
gs_beta,gs_beta,gs_beta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.163664,0.451065,0.736022,1.00192,1.24127,1.44166,1.50361,1.47206,1.44425,1.50009,1.57142,1.56491,1.4884,1.41341,1.43182,1.5304,1.5772,1.52196,1.46682,1.46218,1.49084,1.50249,1.46656,1.42527,1.40387,1.4629,1.51253,1.46619,1.42948,5.188
gs_gamma,gs_gamma,gs_gamma.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0819651,0.185333,0.218782,0.260415,0.335729,0.374197,0.432955,0.505503,0.544781,0.586087,0.647879,0.671601,0.714725,0.754373,0.776091,0.810209,0.831798,0.845426,0.880015,0.899024,0.909181,0.93767,0.967121,0.970898,0.993526,1.02135,1.01605,1.03613,1.05935,5.192
gs_delta,gs_delta,gs_delta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0405386,0.0796938,0.142587,0.204516,0.27396,0.347717,0.424933,0.553784,0.723216,0.86249,0.941376,1.00196,1.06211,1.09615,1.11638,1.1311,1.13536,1.12882,1.11378,1.09875,1.08408,1.07104,1.06072,1.04928,1.03915,1.03516,1.03247,1.03142,1.03135,5.203
gs_epsilon,gs_epsilon,gs_epsilon.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.020409,0.0316013,0.0435856,0.0597163,0.0824966,0.109599,0.138086,0.165201,0.189641,0.21039,0.227625,0.242372,0.256238,0.271763,0.289309,0.306703,0.322597,0.337366,0.351387,0.366618,0.384248,0.403455,0.424587,0.447448,0.470885,0.493828,0.515401,0.534723,0.55261,5.181
gs_theta,gs_theta,gs_theta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0401912,0.140737,0.271726,0.378952,0.456994,0.521165,0.577275,0.646425,0.716677,0.786272,0.847244,0.901464,0.952907,0.99384,1.03667,1.07109,1.08909,1.09571,1.09838,1.09867,1.09631,1.09217,1.0876,1.08383,1.0823,1.08128,1.08176,1.0826,1.08323,5.232
gs_iota,gs_iota,gs_iota.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0638096,0.0965126,0.0987573,0.123183,0.160592,0.163438,0.200587,0.244718,0.274381,0.330138,0.388142,0.452492,0.519544,0.578651,0.636568,0.683694,0.713698,0.732027,0.751602,0.758114,0.756835,0.76335,0.768398,0.765677,0.764129,0.766111,0.768603,0.771505,0.774345,5.161
gs_kappa,gs_kappa,gs_kappa.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0386563,0.0588859,0.0778831,0.0972311,0.120613,0.149543,0.181131,0.214615,0.253136,0.294682,0.333502,0.372323,0.412332,0.452183,0.49289,0.534395,0.57302,0.607902,0.6427,0.678083,0.71238,0.744233,0.77387,0.801206,0.8234,0.840374,0.855125,0.870459,0.882079,5.205
sh,sh,sh.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0690629,0.137833,0.202527,0.260251,0.306609,0.339196,0.361018,0.3775,0.39284,0.409005,0.425725,0.442702,0.461656,0.485189,0.514847,0.549843,0.586527,0.622288,0.65678,0.689506,0.719404,0.745452,0.766432,0.781511,0.790889,0.795692,0.797049,0.795969,0.793432,5.180
