dataset,condition,count,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
diff,id,3,0.0271704,0.0416576,0.0444364,0.0456786,0.0499971,0.0565344,0.0633758,0.0695271,0.0746706,0.0787765,0.0819157,0.0841921,0.0857207,0.0866198,0.0870065,0.0869892,0.086663,0.0861097,0.085397,0.08458,0.0837021,0.082798,0.0818949,0.0810146,0.0801749,0.0793912,0.0786766,0.0780435,0.077503
diff,ood_low,3,0.113866,0.20651,0.259726,0.2897,0.308914,0.323051,0.334572,0.344661,0.353936,0.362743,0.371276,0.379634,0.387863,0.39598,0.403984,0.411868,0.419624,0.427248,0.434737,0.442092,0.449316,0.456412,0.463385,0.470238,0.476974,0.483595,0.490105,0.496504,0.502793
diff,ood_high,3,0.0643531,0.106273,0.142144,0.172792,0.198924,0.221373,0.240839,0.257873,0.272917,0.286342,0.298456,0.309536,0.319832,0.329562,0.338899,0.347975,0.35688,0.365677,0.374404,0.383083,0.391728,0.400347,0.408943,0.417521,0.426085,0.43464,0.443193,0.451751,0.460323
hyp,id,3,0.110734,0.174291,0.219012,0.253642,0.281926,0.305922,0.326933,0.345841,0.363252,0.379592,0.395164,0.410187,0.424826,0.439209,0.453441,0.467614,0.481814,0.496122,0.510619,0.525388,0.540514,0.556084,0.57219,0.588927,0.606389,0.624678,0.643897,0.664154,0.685565
hyp,ood_low,3,0.0973553,0.144992,0.173212,0.192609,0.207837,0.22114,0.233627,0.245828,0.257972,0.270142,0.282358,0.294618,0.306919,0.319268,0.331681,0.344182,0.356803,0.369582,0.382561,0.395782,0.409291,0.423131,0.437348,0.451985,0.467088,0.482699,0.498864,0.515631,0.533051
hyp,ood_high,3,0.123093,0.20044,0.25755,0.303713,0.343169,0.377905,0.408904,0.436734,0.461804,0.484466,0.505058,0.523904,0.541319,0.557603,0.573038,0.587891,0.60241,0.616827,0.631364,0.646228,0.66162,0.677734,0.694758,0.712878,0.732278,0.753144,0.775663,0.800029,0.826438
burgers,id,3,0.0355672,0.0514113,0.0689024,0.0875193,0.106613,0.126291,0.14547,0.164114,0.181523,0.198164,0.213771,0.22891,0.243672,0.257923,0.271796,0.285205,0.29844,0.311488,0.324247,0.336427,0.347685,0.357928,0.367437,0.376575,0.385494,0.394455,0.402968,0.411409,0.4196
burgers,ood_low,3,0.0455528,0.0631366,0.0822022,0.101939,0.121606,0.141612,0.160883,0.179613,0.196998,0.21371,0.229334,0.244374,0.259348,0.273575,0.287419,0.300605,0.313518,0.326309,0.338849,0.350714,0.361743,0.371763,0.381107,0.390262,0.39919,0.408039,0.416586,0.424968,0.433123
burgers,ood_high,3,0.0297,0.0450655,0.0618008,0.0796558,0.0982101,0.117396,0.136286,0.15462,0.171825,0.188201,0.203605,0.218501,0.232927,0.246921,0.260551,0.273835,0.287042,0.300149,0.312971,0.325252,0.336581,0.346939,0.356531,0.36568,0.3746,0.383488,0.392073,0.40058,0.408819
kdv,id,3,0.0375588,0.0508776,0.0631331,0.0751131,0.0872714,0.0999411,0.113427,0.12805,0.144012,0.161369,0.179847,0.199238,0.219385,0.240001,0.260932,0.282153,0.303732,0.32565,0.34796,0.370722,0.393894,0.417529,0.44166,0.466266,0.491215,0.516348,0.541515,0.56665,0.591804
kdv,ood_low,3,0.0375809,0.0509058,0.0631663,0.0751509,0.0873137,0.0999881,0.113479,0.128107,0.144074,0.161438,0.179922,0.199319,0.219473,0.240096,0.261033,0.28226,0.303844,0.325767,0.348082,0.370847,0.394023,0.417661,0.441793,0.4664,0.491349,0.516481,0.541644,0.566774,0.591922
kdv,ood_high,3,0.0375344,0.0508466,0.0630967,0.0750716,0.087225,0.0998895,0.11337,0.127987,0.143943,0.161294,0.179764,0.199148,0.219288,0.239897,0.260821,0.282036,0.303608,0.325521,0.347826,0.370583,0.393752,0.417385,0.441514,0.466119,0.491068,0.516203,0.541373,0.566513,0.591673
ks,id,3,0.0155316,0.0282998,0.0427757,0.0598056,0.0793739,0.101536,0.127721,0.157834,0.191528,0.231287,0.27932,0.338261,0.406729,0.472587,0.530144,0.587631,0.647377,0.706143,0.761821,0.81515,0.868617,0.925205,0.985304,1.04359,1.09487,1.13845,1.17797,1.21335,1.24235
ks,ood_low,3,0.0188385,0.0342882,0.0494723,0.065706,0.0839606,0.104836,0.12841,0.15445,0.18256,0.212172,0.242698,0.273614,0.304494,0.335065,0.365189,0.394821,0.423995,0.452838,0.481616,0.510795,0.541118,0.573689,0.610073,0.652386,0.703261,0.76532,0.839286,0.919923,0.994131
ks,ood_high,3,0.035101,0.0650466,0.103381,0.151746,0.210886,0.278071,0.348612,0.418064,0.481959,0.540199,0.594936,0.647661,0.697716,0.745876,0.791628,0.83493,0.875629,0.911234,0.941237,0.967556,0.990749,1.01069,1.02729,1.04079,1.05318,1.06436,1.07332,1.08237,1.09369
fisher,id,3,0.0282103,0.0563333,0.0855493,0.115932,0.14733,0.179444,0.211971,0.244636,0.277311,0.30961,0.339601,0.364388,0.381992,0.392624,0.397981,0.399909,0.399767,0.398419,0.396356,0.393878,0.391106,0.38809,0.384898,0.381604,0.378225,0.374717,0.37099,0.366929,0.362414
fisher,ood_low,3,0.0609108,0.0935601,0.124417,0.154741,0.184629,0.213844,0.241953,0.268424,0.293065,0.316109,0.337769,0.35806,0.376727,0.393349,0.407663,0.419676,0.429581,0.43766,0.444213,0.449509,0.4538,0.45731,0.460145,0.462284,0.463611,0.463977,0.463277,0.461479,0.458607
fisher,ood_high,3,0.0425977,0.0782137,0.111174,0.143217,0.17518,0.207623,0.241108,0.275782,0.310804,0.343883,0.371102,0.389538,0.399043,0.401898,0.400703,0.397089,0.391999,0.386228,0.380523,0.375432,0.371241,0.36802,0.365677,0.364019,0.362787,0.361686,0.360418,0.358708,0.356314
gs_alpha,id,3,0.0322955,0.0617256,0.0938285,0.126869,0.158915,0.188607,0.212965,0.234377,0.256713,0.278342,0.296743,0.312337,0.329661,0.352498,0.379016,0.408511,0.435727,0.460579,0.484711,0.507258,0.530559,0.557299,0.588694,0.62333,0.654316,0.68258,0.7091,0.73429,0.761152
