dataset,sim_id,condition,seed,parameter_overrides,numerical_overrides,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
diff,0,id,2026072201,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.009863167069852352,0.01223048660904169,0.014580784365534782,0.018079448491334915,0.022594746202230453,0.027696894481778145,0.033010147511959076,0.038255978375673294,0.04323229566216469,0.047796525061130524,0.05185588821768761,0.055359210819005966,0.058288853615522385,0.060652900487184525,0.06247841566801071,0.06380574405193329,0.06468386203050613,0.06516670435667038,0.06531046330928802,0.06517142057418823,0.064804308116436,0.06426122784614563,0.06359086185693741,0.06283798068761826,0.06204330548644066,0.06124338507652283,0.060470737516880035,0.05975371226668358,0.059116728603839874
diff,1,id,2026072202,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.07457218319177628,0.10909970104694366,0.10210369527339935,0.08258303254842758,0.06986018270254135,0.07046669721603394,0.08016829937696457,0.09280401468276978,0.10512824356555939,0.11592694371938705,0.12484969943761826,0.13188259303569794,0.1371433436870575,0.14080925285816193,0.14308381080627441,0.14418195188045502,0.14432813227176666,0.14375077188014984,0.14267180860042572,0.14129464328289032,0.13979654014110565,0.13832147419452667,0.13697697222232819,0.13583596050739288,0.13494203984737396,0.13431599736213684,0.1339622586965561,0.13387420773506165,0.1340383142232895
diff,2,id,2026072203,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.006359141319990158,0.012462405487895012,0.018647465854883194,0.02488774247467518,0.031147390604019165,0.03738543391227722,0.04356320947408676,0.04964851588010788,0.05561612546443939,0.0614469014108181,0.0671263262629509,0.07264351099729538,0.0779905691742897,0.08316219598054886,0.08815565705299377,0.09297037124633789,0.09760793298482895,0.10207180678844452,0.10636704415082932,0.11050015687942505,0.11447885632514954,0.11831166595220566,0.12200772762298584,0.1255766749382019,0.12902818620204926,0.13237208127975464,0.13561798632144928,0.13877543807029724,0.14185340702533722
diff,3,ood_low,2026072201,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.06474516540765762,0.12438337504863739,0.1610267162322998,0.18402764201164246,0.20013540983200073,0.21248950064182281,0.22273898124694824,0.23177334666252136,0.24009746313095093,0.24801099300384521,0.25569602847099304,0.2632654309272766,0.27078938484191895,0.2783094346523285,0.2858479917049408,0.29341447353363037,0.3010093867778778,0.30862703919410706,0.31625786423683167,0.3238896131515503,0.33150869607925415,0.33910107612609863,0.3466530442237854,0.35415175557136536,0.3615855276584625,0.3689442276954651,0.3762190341949463,0.38340291380882263,0.39048993587493896
diff,4,ood_low,2026072202,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.27678975462913513,0.4788525402545929,0.5756146311759949,0.6176827549934387,0.6358942985534668,0.643194854259491,0.64504075050354,0.644044816493988,0.6416289210319519,0.6386504769325256,0.6356683969497681,0.6330663561820984,0.6311125755310059,0.6299906969070435,0.6298056244850159,0.6305953860282898,0.6323354244232178,0.6349480748176575,0.63831627368927,0.642295241355896,0.6467289328575134,0.6514672636985779,0.656378448009491,0.661355197429657,0.6663156151771545,0.6712012887001038,0.6759738922119141,0.680610716342926,0.6851008534431458
diff,5,ood_low,2026072203,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.032222624868154526,0.06249695271253586,0.091078020632267,0.11811278760433197,0.1437227874994278,0.16801095008850098,0.19106748700141907,0.21297456324100494,0.23380836844444275,0.25363969802856445,0.27253344655036926,0.29054874181747437,0.3077397048473358,0.32415565848350525,0.3398421108722687,0.35484156012535095,0.3691936433315277,0.3829357922077179,0.3961033821105957,0.40873005986213684,0.4208475351333618,0.43248605728149414,0.443674236536026,0.454439252614975,0.46480658650398254,0.4748004972934723,0.48444369435310364,0.49375760555267334,0.5027621984481812
diff,6,ood_high,2026072201,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.05215161293745041,0.0837758257985115,0.1086878553032875,0.1304808408021927,0.15039418637752533,0.16891643404960632,0.18625791370868683,0.20251859724521637,0.21775630116462708,0.23201675713062286,0.24534720182418823,0.25780123472213745,0.2694392800331116,0.28032779693603516,0.29053717851638794,0.3001405894756317,0.30921170115470886,0.3178236186504364,0.32604721188545227,0.333949476480484,0.3415936231613159,0.3490374982357025,0.35633385181427,0.3635297417640686,0.3706672191619873,0.3777830898761749,0.38490933179855347,0.39207351207733154,0.3992992043495178
diff,7,ood_high,2026072202,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.09901005029678345,0.15817919373512268,0.21286499500274658,0.2628427743911743,0.3062392771244049,0.3432146906852722,0.37447163462638855,0.4006156623363495,0.4220910668373108,0.43924999237060547,0.4524290859699249,0.46201565861701965,0.4684644639492035,0.47229352593421936,0.4740610122680664,0.47432568669319153,0.4736047089099884,0.4723375737667084,0.4708731174468994,0.46946755051612854,0.4682922065258026,0.4674479067325592,0.46698296070098877,0.4669094681739807,0.46721726655960083,0.4678843021392822,0.4688839912414551,0.4701889455318451,0.4717739522457123
diff,8,ood_high,2026072203,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.02185267023742199,0.04141762852668762,0.05914154276251793,0.07531208544969559,0.09016874432563782,0.10391222685575485,0.11671219021081924,0.12871414422988892,0.14004521071910858,0.15081802010536194,0.16113337874412537,0.1710813343524933,0.18074174225330353,0.19018468260765076,0.19947083294391632,0.20865212380886078,0.21777206659317017,0.2268667221069336,0.2359650433063507,0.24509014189243317,0.25425970554351807,0.2634868919849396,0.2727808654308319,0.28214746713638306,0.2915899157524109,0.30110910534858704,0.3107040822505951,0.32037249207496643,0.33011049032211304
hyp,0,id,2026072201,"{""Hyper-Diffusivity"": 0.000275}",{},0.06842507421970367,0.10575930029153824,0.13096307218074799,0.14967961609363556,0.1643301248550415,0.1762617528438568,0.1863216757774353,0.19506119191646576,0.2028397172689438,0.2098904550075531,0.21636489033699036,0.22236254811286926,0.22795067727565765,0.23317675292491913,0.23807628452777863,0.24267740547657013,0.24700376391410828,0.2510761022567749,0.2549130618572235,0.2585318386554718,0.26194849610328674,0.26517799496650696,0.26823440194129944,0.27113106846809387,0.2738805115222931,0.2764946520328522,0.2789846360683441,0.2813611626625061,0.2836342751979828
