dataset,condition,count,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
diff,id,3,0.034395,0.0660591,0.0832474,0.0910475,0.0971054,0.104438,0.113383,0.123407,0.1339,0.144426,0.154735,0.164714,0.174328,0.18359,0.192535,0.201204,0.209639,0.217879,0.225958,0.233903,0.241738,0.24948,0.257144,0.264741,0.27228,0.279767,0.287207,0.294603,0.301959
diff,ood_low,3,0.116974,0.22717,0.30129,0.347242,0.377159,0.399232,0.41736,0.43324,0.447676,0.461093,0.473733,0.485749,0.497241,0.508281,0.518919,0.529197,0.539146,0.548793,0.558161,0.567268,0.576132,0.584767,0.593187,0.601401,0.609421,0.617255,0.624911,0.632397,0.639718
diff,ood_high,3,0.0446653,0.0623403,0.0787771,0.0937957,0.106217,0.116161,0.124021,0.130172,0.134925,0.138539,0.141238,0.143213,0.144629,0.145624,0.146311,0.146782,0.147106,0.147335,0.147504,0.14764,0.147756,0.147864,0.147969,0.148072,0.148175,0.148279,0.148384,0.148493,0.148606
hyp,id,3,0.10558,0.164547,0.205599,0.237749,0.265063,0.289956,0.314119,0.338833,0.36512,0.39382,0.425622,0.461071,0.500563,0.544359,0.592597,0.645327,0.702538,0.764187,0.830204,0.900478,0.974848,1.0531,1.13498,1.22023,1.30854,1.3996,1.4931,1.5887,1.68605
hyp,ood_low,3,0.0995143,0.158989,0.206024,0.248793,0.290274,0.331633,0.373367,0.415743,0.458941,0.503097,0.548314,0.594671,0.642236,0.691064,0.741202,0.792674,0.84548,0.899593,0.95496,1.01152,1.06921,1.12798,1.18778,1.24856,1.31021,1.37264,1.43569,1.4992,1.56299
hyp,ood_high,3,0.113144,0.179875,0.226724,0.263635,0.295338,0.324193,0.351514,0.378198,0.405019,0.432745,0.46217,0.494089,0.529257,0.568337,0.611878,0.660322,0.714024,0.773264,0.838253,0.909127,0.985935,1.06862,1.15703,1.25095,1.35012,1.45423,1.56292,1.67575,1.7923
burgers,id,3,0.0364921,0.0551025,0.0755065,0.0966389,0.117661,0.13876,0.159095,0.178981,0.198035,0.21647,0.234175,0.251441,0.268299,0.284848,0.301087,0.316636,0.33163,0.346078,0.360002,0.373357,0.386156,0.398289,0.409726,0.420818,0.431495,0.44233,0.452833,0.463205,0.473161
burgers,ood_low,3,0.0465881,0.0668985,0.0887454,0.110832,0.13234,0.153715,0.174108,0.194025,0.213042,0.231499,0.249136,0.266233,0.283221,0.299702,0.315896,0.331202,0.345849,0.360019,0.373719,0.386757,0.399337,0.411211,0.422407,0.433416,0.444052,0.454726,0.465193,0.47547,0.485291
burgers,ood_high,3,0.0305948,0.0486561,0.0681814,0.0884189,0.108734,0.129193,0.149124,0.168639,0.187399,0.205521,0.223015,0.240052,0.256598,0.272913,0.28891,0.304343,0.31932,0.333835,0.347849,0.361312,0.374191,0.38646,0.398038,0.409218,0.419954,0.430785,0.441433,0.451914,0.461985
kdv,id,3,0.0399592,0.0629125,0.0855226,0.106803,0.126565,0.143317,0.157932,0.171562,0.185054,0.199323,0.215218,0.233217,0.253362,0.275361,0.298679,0.322716,0.346978,0.370998,0.394218,0.416122,0.436362,0.454893,0.471975,0.488044,0.503478,0.518473,0.533037,0.547014,0.560207
kdv,ood_low,3,0.0399771,0.0629312,0.0855451,0.106831,0.126599,0.143359,0.15798,0.171616,0.185113,0.199388,0.215288,0.233293,0.253443,0.275447,0.298771,0.322813,0.347079,0.371104,0.394326,0.416232,0.436474,0.455005,0.472086,0.488154,0.503586,0.51858,0.533143,0.547118,0.560308
kdv,ood_high,3,0.0399395,0.0628919,0.0854981,0.106772,0.126527,0.143271,0.157879,0.171504,0.184989,0.199252,0.215142,0.233135,0.253274,0.275267,0.298579,0.32261,0.346867,0.370883,0.394099,0.416001,0.43624,0.45477,0.471853,0.487923,0.503359,0.518356,0.532922,0.546902,0.560097
ks,id,3,0.0181668,0.0366954,0.0608546,0.0905715,0.128294,0.173496,0.226372,0.28405,0.344847,0.409468,0.47387,0.534613,0.592833,0.652316,0.71565,0.779034,0.837966,0.889485,0.931968,0.969827,1.00615,1.04406,1.08426,1.12626,1.16724,1.20188,1.22997,1.25398,1.27836
ks,ood_low,3,0.0206195,0.039429,0.0618848,0.0910846,0.129846,0.177515,0.231154,0.288568,0.350546,0.417101,0.486633,0.557964,0.630191,0.70227,0.773295,0.842729,0.910728,0.978862,1.05114,1.13443,1.23701,1.36221,1.49674,1.60603,1.67253,1.70763,1.71035,1.68198,1.64744
ks,ood_high,3,0.0303687,0.0550121,0.0859242,0.125143,0.17264,0.226755,0.285301,0.346849,0.408982,0.469713,0.530712,0.592158,0.649953,0.702924,0.752165,0.798985,0.843473,0.88262,0.915617,0.945207,0.97166,0.993068,1.00935,1.02244,1.03582,1.05106,1.06865,1.08764,1.1054
fisher,id,3,0.0219235,0.0434017,0.0657365,0.0890677,0.113666,0.140091,0.169001,0.200993,0.236107,0.272934,0.308274,0.33891,0.363378,0.382111,0.396232,0.406618,0.413849,0.418439,0.420905,0.421734,0.421361,0.420154,0.418391,0.416243,0.413769,0.410937,0.407651,0.403791,0.39924
fisher,ood_low,3,0.0711315,0.116053,0.15834,0.199126,0.238952,0.277877,0.315585,0.351576,0.385397,0.416791,0.44555,0.471384,0.494133,0.513881,0.530833,0.545151,0.556905,0.566142,0.572936,0.577401,0.579719,0.580152,0.579011,0.576598,0.573163,0.568883,0.563867,0.55817,0.551813
fisher,ood_high,3,0.038983,0.0701301,0.0972662,0.122173,0.146392,0.171661,0.199995,0.233114,0.270885,0.309526,0.342856,0.366914,0.382244,0.391791,0.397991,0.401993,0.404292,0.405258,0.405251,0.404541,0.403301,0.401644,0.399637,0.397281,0.394493,0.39112,0.386974,0.381873,0.375681
gs_alpha,id,3,0.0380201,0.0769272,0.120821,0.168379,0.21811,0.267881,0.314156,0.357876,0.400214,0.438505,0.470298,0.496592,0.521208,0.548957,0.582501,0.618488,0.654234,0.689859,0.723199,0.75268,0.779679,0.808732,0.840694,0.872878,0.902964,0.927948,0.949497,0.970013,0.988902
gs_alpha,ood_low,3,0.0307299,0.0548604,0.0774932,0.0993938,0.120204,0.140061,0.159537,0.180947,0.209504,0.240592,0.265971,0.291985,0.323389,0.358575,0.395071,0.432667,0.472645,0.514209,0.556704,0.599732,0.641969,0.683676,0.717727,0.742594,0.761136,0.77811,0.79812,0.820759,0.846727
gs_alpha,ood_high,3,0.0454705,0.0955996,0.158992,0.231559,0.306278,0.380757,0.452419,0.521381,0.585095,0.643637,0.696555,0.745147,0.792247,0.838776,0.880532,0.916662,0.950131,0.980107,1.00746,1.035,1.06397,1.09359,1.12028,1.14424,1.16391,1.17673,1.18533,1.19365,1.20158
gs_beta,id,3,0.102464,0.232603,0.491461,0.886525,1.20738,1.30785,1.26901,1.26518,1.30603,1.32975,1.28183,1.20543,1.17778,1.06409,1.03843,1.10424,1.08931,1.03677,1.02682,0.987243,0.983398,0.986987,0.95948,0.946773,0.890751,0.945343,1.02589,0.979042,0.97891
gs_beta,ood_low,3,0.154801,0.27995,0.480589,0.672222,0.7762,0.837395,0.905528,0.948767,0.936337,0.962715,1.06428,1.11953,1.1006,1.07795,1.07047,1.11034,1.17854,1.18348,1.14824,1.13313,1.10585,1.07347,1.10571,1.1506,1.13172,1.11528,1.12713,1.10895,1.12398
gs_beta,ood_high,3,0.22352,0.900546,1.20876,1.11058,0.698656,0.317128,0.37646,0.671127,1.1266,1.33373,1.15304,0.63004,0.339349,0.488578,0.911628,1.32859,1.50234,0.976864,0.493695,0.490205,0.727098,1.11273,1.42709,1.2646,0.848984,0.709448,0.745895,1.05324,1.4383
gs_gamma,id,3,0.0427543,0.0981818,0.174375,0.212282,0.262383,0.336172,0.382652,0.43858,0.483585,0.501845,0.568574,0.600617,0.625046,0.667871,0.697358,0.740804,0.768649,0.801061,0.843439,0.857095,0.89179,0.903057,0.912431,0.930552,0.949775,0.952138,0.957595,0.99894,0.997254
gs_gamma,ood_low,3,0.0839923,0.25079,0.30636,0.369012,0.474424,0.526243,0.583473,0.696946,0.74568,0.786639,0.86279,0.889921,0.933301,0.987565,0.987872,1.01176,1.04766,1.05633,1.09292,1.13669,1.11415,1.13286,1.18086,1.15522,1.17561,1.22254,1.19524,1.21438,1.24851
gs_gamma,ood_high,3,0.125108,0.242872,0.214715,0.266789,0.374884,0.329574,0.391635,0.451284,0.437625,0.522813,0.56036,0.574383,0.629147,0.623665,0.652419,0.693622,0.689408,0.696805,0.74058,0.745285,0.749487,0.80514,0.80882,0.808812,0.856198,0.846211,0.859246,0.883948,0.876726
