dataset,source_dataset,source_file,source_num_simulations,source_num_frames,selected_sim_ids,selected_num_simulations,num_test_trajectories,num_evaluated_trajectories,trajectory_length,shape,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29,elapsed_seconds
diff,diff,diff.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0715194,0.122584,0.152388,0.171632,0.186752,0.200015,0.211884,0.22248,0.231944,0.240441,0.24813,0.255155,0.261642,0.267706,0.273446,0.27894,0.284248,0.289419,0.294488,0.299483,0.304423,0.309327,0.314207,0.319074,0.32394,0.328812,0.333699,0.338606,0.343539,5.739
hyp,hyp,hyp.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.105229,0.163703,0.203751,0.234814,0.260913,0.283945,0.30487,0.324218,0.342321,0.359418,0.375706,0.391356,0.406524,0.421359,0.436003,0.450598,0.465285,0.480207,0.495513,0.511359,0.527911,0.54535,0.563868,0.583678,0.60501,0.628114,0.653253,0.680698,0.710725,5.158
burgers,burgers,burgers.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0374276,0.0542862,0.072633,0.0919146,0.111569,0.131739,0.151487,0.170843,0.189044,0.206582,0.223047,0.238996,0.254618,0.269732,0.284693,0.299384,0.314152,0.329071,0.34384,0.3583,0.372289,0.385716,0.398862,0.412125,0.425632,0.439316,0.453017,0.467054,0.48081,5.190
kdv,kdv,kdv.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0379841,0.0515425,0.0642602,0.076938,0.0898891,0.103236,0.117059,0.131604,0.147171,0.164013,0.182077,0.201294,0.221541,0.242609,0.264353,0.286717,0.309699,0.333204,0.35721,0.381765,0.406832,0.432428,0.45851,0.484934,0.511497,0.538057,0.564452,0.590525,0.616209,5.234
ks,ks,ks.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0248033,0.0455903,0.0698213,0.0982904,0.131502,0.168604,0.208713,0.250451,0.292109,0.333296,0.375133,0.419423,0.465114,0.507503,0.546113,0.585865,0.62632,0.663287,0.695233,0.724736,0.754603,0.78451,0.812546,0.838125,0.859993,0.877898,0.89492,0.912861,0.931042,5.126
fisher,fisher,fisher.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0472437,0.0847202,0.121842,0.158728,0.195226,0.231375,0.267461,0.303752,0.340012,0.375096,0.406699,0.431942,0.449224,0.459059,0.463048,0.463031,0.460755,0.457454,0.453841,0.450285,0.446926,0.443753,0.44069,0.437642,0.434506,0.431173,0.427532,0.423479,0.41892,5.157
gs_alpha,gs_alpha,gs_alpha.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0366602,0.0692532,0.103789,0.13892,0.173441,0.208302,0.24408,0.284246,0.328064,0.370934,0.410279,0.445944,0.480032,0.514597,0.550084,0.586958,0.62283,0.656684,0.689093,0.718748,0.746593,0.774861,0.80429,0.83303,0.860339,0.886147,0.908571,0.92884,0.948831,5.239
gs_beta,gs_beta,gs_beta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.15521,0.425772,0.687862,0.932384,1.19479,1.42437,1.49934,1.46979,1.44261,1.50951,1.58728,1.56979,1.4933,1.42018,1.43882,1.54865,1.58484,1.52436,1.46791,1.47687,1.51438,1.53365,1.48789,1.44033,1.44053,1.52945,1.56777,1.4909,1.44611,5.208
gs_gamma,gs_gamma,gs_gamma.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0940194,0.177865,0.233278,0.270578,0.318753,0.36428,0.410875,0.463705,0.505174,0.538907,0.588631,0.606685,0.646718,0.685,0.693592,0.725394,0.741997,0.751416,0.786864,0.805091,0.811953,0.839024,0.856901,0.852938,0.875543,0.89779,0.897593,0.906951,0.928326,5.269
gs_delta,gs_delta,gs_delta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0368415,0.076499,0.139721,0.203492,0.276064,0.354171,0.456684,0.622256,0.790086,0.918364,0.974685,1.02268,1.06761,1.09741,1.11166,1.1231,1.12549,1.12089,1.10694,1.09227,1.08123,1.07341,1.06324,1.05262,1.04333,1.04092,1.03927,1.03785,1.03774,5.274
gs_epsilon,gs_epsilon,gs_epsilon.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0245633,0.0400331,0.0558401,0.0756255,0.100779,0.127501,0.155133,0.181395,0.20542,0.225985,0.244318,0.262103,0.281282,0.302799,0.324871,0.345341,0.363463,0.380994,0.400178,0.421541,0.444115,0.466574,0.489189,0.512616,0.536492,0.559235,0.580464,0.600677,0.619745,5.214
gs_theta,gs_theta,gs_theta.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.038964,0.143351,0.294593,0.40441,0.473486,0.539696,0.603597,0.672974,0.746254,0.813522,0.873373,0.924513,0.969547,1.00775,1.04238,1.06512,1.07807,1.07925,1.07342,1.06708,1.05937,1.05166,1.04511,1.03915,1.03429,1.03028,1.02861,1.02841,1.02843,5.209
gs_iota,gs_iota,gs_iota.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0626373,0.095298,0.0980508,0.123263,0.164537,0.174906,0.218771,0.271435,0.329602,0.398774,0.46336,0.5414,0.608647,0.656165,0.70539,0.757846,0.778218,0.788588,0.809922,0.815586,0.814074,0.820138,0.826097,0.823601,0.822161,0.823496,0.825625,0.828449,0.83144,5.243
gs_kappa,gs_kappa,gs_kappa.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0447985,0.0682638,0.0887395,0.110146,0.135497,0.166495,0.202656,0.240529,0.280862,0.324331,0.369019,0.416045,0.460911,0.500289,0.538941,0.578176,0.614777,0.649373,0.682246,0.713509,0.744427,0.773276,0.798641,0.822925,0.846789,0.868833,0.888243,0.903827,0.917449,5.221
sh,sh,sh.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0749201,0.141955,0.199171,0.248752,0.289777,0.320119,0.342265,0.3606,0.37871,0.399849,0.425216,0.454234,0.487441,0.52579,0.567847,0.611035,0.654285,0.695488,0.731626,0.762755,0.790133,0.812458,0.826868,0.832891,0.832729,0.829192,0.824413,0.819526,0.815032,5.122
decay_turb,decay_turb,decay_turb.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.153812,0.254762,0.322924,0.36516,0.396438,0.421538,0.439685,0.452516,0.461484,0.466088,0.471918,0.474208,0.469982,0.462542,0.453988,0.446399,0.439177,0.432841,0.427676,0.422407,0.416736,0.412108,0.408303,0.404669,0.401574,0.398974,0.396444,0.394182,0.392217,5.148
kolm_flow,kolm_flow,kolm_flow.hdf5,9,30,"0,1,2,3,4,5,6,7,8",9,9,9,30,2x256x256,0.0899999,0.109035,0.129971,0.1529,0.184698,0.224792,0.26506,0.308172,0.359121,0.409805,0.45995,0.498015,0.53916,0.587667,0.637227,0.683632,0.733187,0.783834,0.829476,0.880375,0.938244,0.991806,1.03333,1.06815,1.10157,1.12881,1.15324,1.16856,1.17306,5.157
macro_avg,,,,,,,,,,,0.0668608,0.124971,0.178743,0.226938,0.275536,0.320299,0.358801,0.395939,0.433529,0.473818,0.510519,0.538458,0.562547,0.584009,0.607791,0.637423,0.658635,0.67155,0.685028,0.700127,0.716132,0.732356,0.742855,0.7505,0.762113,0.778617,0.790419,0.795376,0.802331,
micro_avg,,,,,,,,153,,,0.0668608,0.124971,0.178743,0.226938,0.275536,0.320299,0.358801,0.395939,0.433529,0.473818,0.510519,0.538458,0.562547,0.584009,0.607791,0.637423,0.658635,0.67155,0.685028,0.700127,0.716132,0.732356,0.742855,0.7505,0.762113,0.778617,0.790419,0.795376,0.802331,279.967
