dataset,sim_id,condition,seed,parameter_overrides,numerical_overrides,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
diff,0,id,2026072201,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.015324044041335583,0.02186465822160244,0.027118995785713196,0.031830791383981705,0.03595590963959694,0.03942669928073883,0.04224548861384392,0.04447142034769058,0.04619326815009117,0.04751108959317207,0.048523660749197006,0.0493210032582283,0.049978893250226974,0.05055717006325722,0.05110051482915878,0.051640767604112625,0.052199508994817734,0.0527900829911232,0.053419630974531174,0.05409068614244461,0.05480273440480232,0.055553048849105835,0.056337617337703705,0.05715179443359375,0.05799073353409767,0.05884964391589165,0.05972399562597275,0.06060976907610893,0.06150340288877487
diff,1,id,2026072202,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.07819361239671707,0.11300655454397202,0.10494492948055267,0.09057465195655823,0.08588635921478271,0.09110818803310394,0.10099904239177704,0.11158601194620132,0.12102124094963074,0.12864144146442413,0.13430474698543549,0.13809998333454132,0.14024369418621063,0.14101164042949677,0.14069180190563202,0.13955873250961304,0.13786284625530243,0.13581638038158417,0.13359133899211884,0.13132250308990479,0.12911424040794373,0.1270463764667511,0.1251789778470993,0.12355633825063705,0.12221019715070724,0.12116251140832901,0.12042727321386337,0.12001191824674606,0.11991885304450989
diff,2,id,2026072203,"{""Viscosity X"": 0.0275, ""Viscosity Y"": 0.0275}",{},0.005612335167825222,0.010630430653691292,0.015485133044421673,0.020090194419026375,0.024387741461396217,0.028340302407741547,0.03192570060491562,0.0351330041885376,0.03795911744236946,0.040406424552202225,0.04248123615980148,0.04419321194291115,0.045555416494607925,0.046584561467170715,0.04730185493826866,0.047733090817928314,0.04790845513343811,0.04786185920238495,0.04763031378388405,0.0472533255815506,0.04677194729447365,0.04622822627425194,0.04566393047571182,0.045119836926460266,0.04463430866599083,0.04424227029085159,0.04397386312484741,0.04385335370898247,0.04389842227101326
diff,3,ood_low,2026072201,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.07566536217927933,0.12768810987472534,0.1625255048274994,0.1882224977016449,0.20807474851608276,0.22450365126132965,0.2389390468597412,0.2521301507949829,0.26447048783302307,0.276166170835495,0.28731751441955566,0.2979711592197418,0.30815330147743225,0.31788408756256104,0.3271878659725189,0.3360915184020996,0.34462305903434753,0.352811336517334,0.36068472266197205,0.3682694435119629,0.3755893111228943,0.3826656937599182,0.389517605304718,0.39616167545318604,0.4026125371456146,0.408883273601532,0.41498565673828125,0.4209303557872772,0.4267270267009735
diff,4,ood_low,2026072202,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.27562496066093445,0.49723902344703674,0.6044092178344727,0.6488386988639832,0.6674798727035522,0.6755455136299133,0.6788329482078552,0.6798903346061707,0.679993212223053,0.679808497428894,0.6796713471412659,0.6797285676002502,0.6800174117088318,0.6805343627929688,0.6812512278556824,0.6821277737617493,0.6831325888633728,0.684245228767395,0.6854540705680847,0.6867531538009644,0.6881398558616638,0.6896132826805115,0.69117271900177,0.6928169131278992,0.6945437788963318,0.6963507533073425,0.6982342004776001,0.7001902461051941,0.7022146582603455
diff,5,ood_low,2026072203,"{""Viscosity X"": 0.00475, ""Viscosity Y"": 0.00475}",{},0.023388532921671867,0.04496356099843979,0.0651196613907814,0.08411327749490738,0.10214706510305405,0.11937875300645828,0.13593092560768127,0.15189972519874573,0.1673615574836731,0.18237799406051636,0.19699953496456146,0.21126769483089447,0.2252165526151657,0.2388736456632614,0.2522605359554291,0.26539328694343567,0.2782823443412781,0.29093390703201294,0.3033504784107208,0.3155319392681122,0.32747626304626465,0.33918026089668274,0.3506401777267456,0.36185207962989807,0.37281230092048645,0.3835175037384033,0.3939651846885681,0.4041536748409271,0.41408205032348633
diff,6,ood_high,2026072201,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.042779408395290375,0.06930959224700928,0.08996455371379852,0.10722942650318146,0.12220089137554169,0.13551045954227448,0.14757543802261353,0.1586914360523224,0.16907720267772675,0.1788903772830963,0.1882449835538864,0.1972281038761139,0.2059101164340973,0.2143499255180359,0.22259853780269623,0.23070190846920013,0.23870164155960083,0.24663595855236053,0.25453972816467285,0.2624445855617523,0.2703794538974762,0.27837058901786804,0.2864413261413574,0.29461273550987244,0.30290329456329346,0.3113289475440979,0.3199038505554199,0.3286396265029907,0.3375464379787445
diff,7,ood_high,2026072202,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.09541840106248856,0.15720783174037933,0.21256615221500397,0.2579088509082794,0.2935992479324341,0.3213755786418915,0.3427978456020355,0.35908791422843933,0.3712487816810608,0.38015100359916687,0.38660308718681335,0.39132240414619446,0.3949195444583893,0.3979301452636719,0.4007629454135895,0.4036860764026642,0.4068506956100464,0.41032037138938904,0.41409844160079956,0.4181506633758545,0.4224233627319336,0.4268559217453003,0.4313894212245941,0.43597015738487244,0.440552294254303,0.44509825110435486,0.4495788812637329,0.45397284626960754,0.4582652449607849
diff,8,ood_high,2026072203,"{""Viscosity X"": 0.0525, ""Viscosity Y"": 0.0525}",{},0.031668245792388916,0.061343103647232056,0.08936139196157455,0.11588214337825775,0.14103882014751434,0.164947971701622,0.187713161110878,0.20942632853984833,0.23016934096813202,0.2500145733356476,0.26902666687965393,0.2872641086578369,0.30478113889694214,0.32162973284721375,0.33786094188690186,0.353525847196579,0.36867475509643555,0.38335826992988586,0.3976263403892517,0.41152840852737427,0.4251129925251007,0.43842747807502747,0.4515179693698883,0.46442854404449463,0.47720178961753845,0.48987796902656555,0.5024951696395874,0.5150890946388245,0.5276928544044495
hyp,0,id,2026072201,"{""Hyper-Diffusivity"": 0.000275}",{},0.07314082235097885,0.11549567431211472,0.14577674865722656,0.16960293054580688,0.1893969178199768,0.20650023221969604,0.22174939513206482,0.23568594455718994,0.24866385757923126,0.2609163224697113,0.2725999653339386,0.2838236689567566,0.2946678102016449,0.30519574880599976,0.31546124815940857,0.3255128264427185,0.3353961408138275,0.3451555371284485,0.3548346161842346,0.36447674036026,0.37412509322166443,0.3838227093219757,0.39361265301704407,0.40353769063949585,0.4136407971382141,0.4239647388458252,0.43455228209495544,0.4454461932182312,0.4566894471645355
