split,condition,aggregation,step,model_seed_count,mean,sample_std,ci95_half_width,ci95_low,ci95_high
full_test,all,macro,1,3,0.04496668352046981,0.0008327818850043265,0.0020687448861761376,0.04289793863429368,0.04703542840664595
full_test,all,macro,2,3,0.07700670338908418,0.0004149764521141335,0.0010308586541722994,0.07597584473491188,0.07803756204325647
full_test,all,macro,3,3,0.11181774352159764,0.0006078678562824539,0.0015100274655333607,0.11030771605606428,0.113327770987131
full_test,all,macro,4,3,0.14985874539862076,0.0018405447230095031,0.004572166556534312,0.14528657884208646,0.15443091195515507
full_test,all,macro,5,3,0.18941084917427764,0.004501074094592127,0.011181287901620214,0.17822956127265743,0.20059213707589785
full_test,all,macro,6,3,0.2271721037208206,0.009633328711623469,0.023930515141934523,0.20324158857888608,0.25110261886275514
full_test,all,macro,7,3,0.26546016198686423,0.013415266753455002,0.033325370055035004,0.23213479193182923,0.2987855320418992
full_test,all,macro,8,3,0.30727092074023354,0.016212134102617494,0.040273173711766634,0.2669977470284669,0.3475440944520002
full_test,all,macro,9,3,0.35289910793511403,0.01777606768882131,0.04415820011188032,0.3087409078232337,0.39705730804699435
full_test,all,macro,10,3,0.398490548417386,0.020050665583177883,0.04980861452024936,0.34868193389713664,0.4482991629376354
full_test,all,macro,11,3,0.4427922022735907,0.022219505111962776,0.05519631058437196,0.3875958916892187,0.49798851285796264
full_test,all,macro,12,3,0.48425498754200014,0.023624481097434674,0.05868646441394303,0.4255685231280571,0.5429414519559431
full_test,all,macro,13,3,0.5180407089450293,0.027306524563786738,0.06783316744489876,0.45020754150013054,0.585873876389928
full_test,all,macro,14,3,0.5457723047667079,0.03003305645340757,0.07460624813411182,0.4711660566325961,0.6203785529008197
full_test,all,macro,15,3,0.5752136087914308,0.03138788332911083,0.07797182466889745,0.49724178412253334,0.6531854334603282
full_test,all,macro,16,3,0.6057384910020563,0.031573082083679954,0.07843188387928611,0.5273066071227702,0.6841703748813425
full_test,all,macro,17,3,0.6327457112405036,0.03162169357425467,0.07855264151624566,0.554193069724258,0.7112983527567492
full_test,all,macro,18,3,0.6600418538517422,0.03166932830571286,0.07867097274904858,0.5813708811026936,0.7387128266007907
full_test,all,macro,19,3,0.6838568034436968,0.032192726083296055,0.0799711649065732,0.6038856385371236,0.76382796835027
full_test,all,macro,20,3,0.7010836419835687,0.0339528876088315,0.0843436485308736,0.616739993452695,0.7854272905144423
full_test,all,macro,21,3,0.718114360777868,0.035629039155396974,0.08850743979825394,0.6296069209796141,0.806621800576122
full_test,all,macro,22,3,0.7355875958005588,0.035596496709902184,0.08842659988216875,0.64716099591839,0.8240141956827275
full_test,all,macro,23,3,0.7491289305686951,0.03507067348489497,0.08712038257923034,0.6620085479894647,0.8362493131479255
full_test,all,macro,24,3,0.7627879487391974,0.0347227569066561,0.08625610988669474,0.6765318388525027,0.8490440586258922
full_test,all,macro,25,3,0.7757367008758916,0.03397948775214835,0.08440972695002413,0.6913269739258675,0.8601464278259158
full_test,all,macro,26,3,0.7879179511467616,0.03409106304150664,0.08468689533401509,0.7032310558127465,0.8726048464807766
full_test,all,macro,27,3,0.8026024745239152,0.034317066321422895,0.08524831860462737,0.7173541559192879,0.8878507931285425
full_test,all,macro,28,3,0.816989201174842,0.03328730405097052,0.08269024731449068,0.7342989538603513,0.8996794484893327
full_test,all,macro,29,3,0.8277925013585223,0.03235580817135389,0.08037628327162363,0.7474162180868987,0.9081687846301459
full_test,all,micro,1,3,0.04896571301362094,0.0006952229906871446,0.0017270296492203825,0.047238683364400555,0.05069274266284132
full_test,all,micro,2,3,0.08267824336594226,0.0008159200354685669,0.0020268577298550162,0.08065138563608724,0.08470510109579728
full_test,all,micro,3,3,0.11574935156340693,0.001888117491010009,0.004690343863575254,0.11105900769983168,0.12043969542698219
full_test,all,micro,4,3,0.14959998244164038,0.0036986757131255224,0.009188019822396294,0.1404119626192441,0.15878800226403667
full_test,all,micro,5,3,0.18389552011793733,0.00642484702616698,0.01596020478973057,0.16793531532820677,0.1998557249076679
full_test,all,micro,6,3,0.21717749640053394,0.010515223488073558,0.02612126321388267,0.19105623318665127,0.2432987596144166
full_test,all,micro,7,3,0.24987725212293513,0.014016943891826922,0.03482001892474419,0.21505723319819092,0.28469727104767933
full_test,all,micro,8,3,0.28355861970022617,0.016622577626597426,0.04129277194821625,0.24226584775200993,0.3248513916484424
full_test,all,micro,9,3,0.31915900966700383,0.018467610035657632,0.04587608653490747,0.27328292313209634,0.3650350962019113
full_test,all,micro,10,3,0.3548156197047701,0.020404470285472317,0.050687514123802666,0.3041281055809674,0.4055031338285728
full_test,all,micro,11,3,0.38914967072945017,0.021947340939171438,0.05452021729896204,0.3346294534304881,0.44366988802841223
full_test,all,micro,12,3,0.4207507370500004,0.02313623020732358,0.05747358196503743,0.36327715508496294,0.4782243190150378
full_test,all,micro,13,3,0.4480029900167503,0.025770514344676167,0.06401750653401958,0.38398548348273076,0.5120204965507699
full_test,all,micro,14,3,0.4718611458703583,0.027957499627381744,0.06945027914976414,0.4024108667205942,0.5413114250201224
full_test,all,micro,15,3,0.4959238622702804,0.02949920760121444,0.07328009406802066,0.42264376820225974,0.5692039563383011
full_test,all,micro,16,3,0.5202551575735503,0.030410504887734228,0.07554388202405217,0.4447112755494982,0.5957990395976025
full_test,all,micro,17,3,0.5426277952568204,0.031101878202340737,0.07726134854774273,0.4653664467090776,0.6198891438045631
full_test,all,micro,18,3,0.5651104716226166,0.03186420810748931,0.07915508101389389,0.4859553906087227,0.6442655526365105
full_test,all,micro,19,3,0.5852919756664949,0.032757769163014004,0.08137480972964671,0.5039171659368482,0.6666667853961417
full_test,all,micro,20,3,0.6017259588194829,0.03421889473446193,0.08500444686323827,0.5167215119562446,0.6867304056827211
full_test,all,micro,21,3,0.6174830286175597,0.0354142533324885,0.08797388223562429,0.5295091463819354,0.705456910853184
full_test,all,micro,22,3,0.6329499991267336,0.035561195174128715,0.08833890600587226,0.5446110931208613,0.7212889051326058
full_test,all,micro,23,3,0.6461258284250895,0.03549421219316613,0.08817251105681971,0.5579533173682698,0.7342983394819091
full_test,all,micro,24,3,0.6592811903766557,0.03545054634369057,0.08806403907342321,0.5712171513032325,0.7473452294500789
full_test,all,micro,25,3,0.6717207919382582,0.035135893750861534,0.08728239870148626,0.5844383932367719,0.7590031906397444
full_test,all,micro,26,3,0.6834010008737152,0.03552477114730213,0.08824842370721966,0.5951525771664956,0.7716494245809349
full_test,all,micro,27,3,0.696296343055426,0.03609186289257982,0.08965715769766883,0.6066391853577572,0.7859535007530948
full_test,all,micro,28,3,0.7088411225524603,0.036004570680564583,0.08944031182186235,0.6194008107305979,0.7982814343743228
full_test,all,micro,29,3,0.7191631690193625,0.03602505644075208,0.08949120127129735,0.6296719677480651,0.8086543702906599
id_ood,all,macro,1,3,0.06611889069149178,0.0006435932780022815,0.001598774332894669,0.06452011635859711,0.06771766502438645
id_ood,all,macro,2,3,0.12723654603549076,0.002774531626119476,0.006892318644801945,0.12034422739068881,0.1341288646802927
id_ood,all,macro,3,3,0.17986515382495516,0.0052958202782236044,0.013155546867624351,0.1667096069573308,0.1930207006925795
id_ood,all,macro,4,3,0.2281528079439937,0.003944433890856394,0.009798516979661026,0.21835429096433268,0.23795132492365473
id_ood,all,macro,5,3,0.2734545345472939,0.0020688533658575954,0.0051393166661447675,0.26831521788114915,0.27859385121343866
id_ood,all,macro,6,3,0.310272246891377,0.010161981315254868,0.02524376101101401,0.285028485880363,0.335516007902391
id_ood,all,macro,7,3,0.3484965130475741,0.010379571638967825,0.02578428533985463,0.3227122277077195,0.3742807983874287
id_ood,all,macro,8,3,0.3904921313045721,0.005144153391897545,0.012778785435682708,0.3777133458688894,0.40327091674025484
id_ood,all,macro,9,3,0.4322480672487506,0.00406219349389791,0.01009104805049358,0.422157019198257,0.4423391152992442
id_ood,all,macro,10,3,0.4747173286454999,0.007292165141432156,0.01811474242791831,0.4566025862175816,0.49283207107341825
id_ood,all,macro,11,3,0.5109567417801725,0.00614194343366616,0.015257433306818344,0.49569930847335414,0.5262141750869909
id_ood,all,macro,12,3,0.5373358882330601,0.0021484020669965266,0.005336926594562294,0.5319989616384978,0.5426728148276224
id_ood,all,macro,13,3,0.5633309828624746,0.0006866303112625388,0.0017056842502170026,0.5616252986122576,0.5650366671126916
id_ood,all,macro,14,3,0.5884461036369951,0.004736824829933933,0.011766925193848407,0.5766791784431468,0.6002130288308435
id_ood,all,macro,15,3,0.6161530080509082,0.011048846548358679,0.027446856381780127,0.5887061516691281,0.6435998644326884
id_ood,all,macro,16,3,0.647238537441931,0.016917821662125316,0.04202619879103134,0.6052123386508997,0.6892647362329624
id_ood,all,macro,17,3,0.6708264749878632,0.02087404296551046,0.051853997326678634,0.6189724776611846,0.7226804723145418
id_ood,all,macro,18,3,0.6839728898861829,0.017596312079551035,0.04371166242399891,0.640261227462184,0.7276845523101818
id_ood,all,macro,19,3,0.6977561252244419,0.014792006245215225,0.036745380545730184,0.6610107446787117,0.734501505770172
id_ood,all,macro,20,3,0.7127681488662244,0.015837148436315323,0.03934165767675113,0.6734264911894733,0.7521098065429755
id_ood,all,macro,21,3,0.7285320378336771,0.018430366523306218,0.04578356852135843,0.6827484693123187,0.7743156063550356
id_ood,all,macro,22,3,0.7461301240915826,0.023587122430295832,0.05859366034004386,0.6875364637515388,0.8047237844316265
id_ood,all,macro,23,3,0.7614637251967699,0.02969298934662396,0.07376147460963531,0.6877022505871345,0.8352251998064052
id_ood,all,macro,24,3,0.7714211508826493,0.03096809145673732,0.07692900384766106,0.6944921470349882,0.8483501547303104
id_ood,all,macro,25,3,0.7805834113252968,0.028098477716498822,0.06980048813746603,0.7107829231878309,0.8503838994627628
id_ood,all,macro,26,3,0.7943345781797158,0.0270823422086754,0.06727626760226457,0.7270583105774512,0.8616108457819803
id_ood,all,macro,27,3,0.806986756119593,0.028767951164490036,0.07146355237661592,0.7355232037429771,0.878450308496209
id_ood,all,macro,28,3,0.8175389699167156,0.03496038620976476,0.08684641379995658,0.730692556116759,0.9043853837166722
id_ood,all,macro,29,3,0.8294173332341096,0.0413698137113403,0.10276831436715278,0.7266490188669568,0.9321856476012624
id_ood,all,micro,1,3,0.06611889069149178,0.0006435932780022859,0.00159877433289468,0.0645201163585971,0.06771766502438646
id_ood,all,micro,2,3,0.1272365460354908,0.0027745316261194608,0.006892318644801907,0.12034422739068891,0.13412886468029273
id_ood,all,micro,3,3,0.17986515382495516,0.0052958202782236044,0.013155546867624351,0.1667096069573308,0.1930207006925795
id_ood,all,micro,4,3,0.22815280794399365,0.003944433890856405,0.009798516979661054,0.2183542909643326,0.2379513249236547
id_ood,all,micro,5,3,0.2734545345472939,0.0020688533658575954,0.0051393166661447675,0.26831521788114915,0.27859385121343866
id_ood,all,micro,6,3,0.310272246891377,0.010161981315254868,0.02524376101101401,0.285028485880363,0.335516007902391
id_ood,all,micro,7,3,0.3484965130475741,0.010379571638967825,0.02578428533985463,0.3227122277077195,0.3742807983874287
id_ood,all,micro,8,3,0.3904921313045721,0.005144153391897516,0.012778785435682635,0.3777133458688895,0.4032709167402547
id_ood,all,micro,9,3,0.4322480672487506,0.00406219349389794,0.010091048050493656,0.42215701919825693,0.44233911529924425
id_ood,all,micro,10,3,0.4747173286455,0.007292165141432208,0.01811474242791844,0.45660258621758154,0.4928320710734184
id_ood,all,micro,11,3,0.5109567417801725,0.006141943433666156,0.015257433306818335,0.49569930847335414,0.5262141750869909
id_ood,all,micro,12,3,0.5373358882330601,0.0021484020669965617,0.005336926594562382,0.5319989616384977,0.5426728148276225
id_ood,all,micro,13,3,0.5633309828624746,0.0006866303112624991,0.001705684250216904,0.5616252986122577,0.5650366671126915
id_ood,all,micro,14,3,0.5884461036369951,0.004736824829933933,0.011766925193848407,0.5766791784431468,0.6002130288308435
id_ood,all,micro,15,3,0.6161530080509082,0.011048846548358679,0.027446856381780127,0.5887061516691281,0.6435998644326884
id_ood,all,micro,16,3,0.647238537441931,0.016917821662125285,0.04202619879103127,0.6052123386508997,0.6892647362329624
id_ood,all,micro,17,3,0.6708264749878632,0.02087404296551046,0.051853997326678634,0.6189724776611846,0.7226804723145418
id_ood,all,micro,18,3,0.6839728898861829,0.01759631207955093,0.04371166242399865,0.6402612274621843,0.7276845523101815
id_ood,all,micro,19,3,0.6977561252244416,0.014792006245215239,0.03674538054573021,0.6610107446787115,0.7345015057701718
id_ood,all,micro,20,3,0.7127681488662244,0.015837148436315323,0.03934165767675113,0.6734264911894733,0.7521098065429755
id_ood,all,micro,21,3,0.728532037833677,0.018430366523306242,0.04578356852135849,0.6827484693123186,0.7743156063550355
id_ood,all,micro,22,3,0.7461301240915826,0.0235871224302958,0.05859366034004378,0.6875364637515389,0.8047237844316264
id_ood,all,micro,23,3,0.7614637251967699,0.02969298934662396,0.07376147460963531,0.6877022505871345,0.8352251998064052
id_ood,all,micro,24,3,0.7714211508826493,0.030968091456737293,0.07692900384766099,0.6944921470349883,0.8483501547303103
id_ood,all,micro,25,3,0.7805834113252968,0.02809847771649885,0.0698004881374661,0.7107829231878308,0.8503838994627629
id_ood,all,micro,26,3,0.7943345781797158,0.027082342208675527,0.06727626760226489,0.7270583105774509,0.8616108457819807
id_ood,all,micro,27,3,0.806986756119593,0.028767951164490036,0.07146355237661592,0.7355232037429771,0.878450308496209
id_ood,all,micro,28,3,0.8175389699167156,0.03496038620976482,0.08684641379995675,0.7306925561167589,0.9043853837166723
id_ood,all,micro,29,3,0.8294173332341096,0.041369813711340325,0.10276831436715284,0.7266490188669568,0.9321856476012624
id_ood,id,macro,1,3,0.05010502023646742,0.0009465541390107184,0.0023513708329007507,0.04775364940356667,0.052456391069368176
id_ood,id,macro,2,3,0.08725712155570198,0.0026328266985851984,0.006540304090377561,0.08071681746532441,0.09379742564607954
id_ood,id,macro,3,3,0.1352653359093405,0.0044652785702621505,0.011092366889721343,0.12417296901961916,0.14635770279906185
id_ood,id,macro,4,3,0.18660471320541858,0.006761412434266845,0.016796279612451726,0.16980843359296685,0.2034009928178703
id_ood,id,macro,5,3,0.2336961729512885,0.008342387396178144,0.020723639136619953,0.21297253381466855,0.2544198120879084
id_ood,id,macro,6,3,0.26956796188370075,0.009558049817025608,0.023743512000967415,0.24582444988273333,0.29331147388466816
id_ood,id,macro,7,3,0.29904422784845036,0.01076599011031872,0.02674420203704241,0.27230002581140794,0.3257884298854928
id_ood,id,macro,8,3,0.3404420168912099,0.011252605713017238,0.027953022206816926,0.31248899468439295,0.36839503909802684
id_ood,id,macro,9,3,0.3862374976666924,0.012425833659108966,0.03086748199214666,0.35537001567454574,0.4171049796588391
id_ood,id,macro,10,3,0.42831940990355283,0.014684106581297231,0.03647734292150962,0.3918420669820432,0.46479675282506244
