split,condition,pde,step,model_seed_count,mean,sample_std,ci95_half_width,ci95_low,ci95_high
full_test,all,burgers,1,3,0.02466062751909097,0.0002578781525487155,0.00064060484377483,0.02402002267531614,0.0253012323628658
full_test,all,burgers,2,3,0.03308379578093688,0.00032963195816299414,0.0008188511782606533,0.032264944602676225,0.03390264695919753
full_test,all,burgers,3,3,0.04212262565890948,0.0006669343483453993,0.0016567567659659065,0.040465868892943575,0.043779382424875384
full_test,all,burgers,4,3,0.05181171074509621,0.0010325804307509865,0.0025650719884121385,0.04924663875668407,0.05437678273350835
full_test,all,burgers,5,3,0.061952833433945975,0.00144521268829739,0.0035901073404551315,0.058362726093490844,0.0655429407744011
full_test,all,burgers,6,3,0.072410852710406,0.0019366897004304288,0.004811003920738057,0.06759984878966793,0.07722185663114406
full_test,all,burgers,7,3,0.08310023754835129,0.002502617479651648,0.006216846459211182,0.07688339108914011,0.08931708400756247
full_test,all,burgers,8,3,0.09405576000610988,0.0031887878937914517,0.007921388261642086,0.0861343717444678,0.10197714826775196
full_test,all,burgers,9,3,0.10522398382425309,0.003980854994620983,0.009888992017025092,0.095334991807228,0.11511297584127818
full_test,all,burgers,10,3,0.11670384138822555,0.004889126653655347,0.012145263897718432,0.10455857749050712,0.12884910528594398
full_test,all,burgers,11,3,0.12849460313717523,0.005925930017512058,0.014720826233512571,0.11377377690366265,0.1432154293706878
full_test,all,burgers,12,3,0.14065510352452595,0.0071073005554908655,0.017655513338420133,0.12299959018610582,0.1583106168629461
full_test,all,burgers,13,3,0.15325523952643075,0.008430768594565433,0.020943190204540784,0.13231204932188997,0.17419842973097152
full_test,all,burgers,14,3,0.16628364562988282,0.0098720027534042,0.024523414329930562,0.14176023129995224,0.1908070599598134
full_test,all,burgers,15,3,0.1797437330087026,0.011342048954085254,0.02817521153501241,0.1515685214736902,0.207918944543715
full_test,all,burgers,16,3,0.19361284852027894,0.012853493087598297,0.03192984690622943,0.1616830016140495,0.22554269542650837
full_test,all,burgers,17,3,0.20790208935737609,0.014383281836887921,0.03573005282930407,0.172172036528072,0.24363214218668017
full_test,all,burgers,18,3,0.22265289465586346,0.015851581888534392,0.03937751235971882,0.18327538229614465,0.2620304070155823
full_test,all,burgers,19,3,0.23777495523293812,0.017258277018509263,0.042871936780981626,0.1949030184519565,0.28064689201391974
full_test,all,burgers,20,3,0.25322614967823026,0.018610975286319234,0.04623222556062608,0.20699392411760417,0.2994583752388563
full_test,all,burgers,21,3,0.2689999743302663,0.01994237060627119,0.04953959488412565,0.21946037944614064,0.3185395692143919
full_test,all,burgers,22,3,0.2850639275709788,0.021257437772881214,0.05280640282614578,0.23225752474483302,0.3378703303971246
full_test,all,burgers,23,3,0.3012769635518392,0.022569908675809533,0.05606676129164461,0.24521020226019458,0.3573437248434838
full_test,all,burgers,24,3,0.3175577652454376,0.024011080408288487,0.05964683034135978,0.25791093490407785,0.37720459558679736
