pde,condition,step,pde_transformer_raw,pde_ttt_raw_3seed_mean,pde_ttt_raw_3seed_std,mean_difference,winning_seed_count
diff,id,1,0.0317478,0.03157053846451967,0.003782444799215768,-0.000177261535480334,1
diff,id,10,0.176764,0.10631836288505124,0.03628350511131982,-0.07044563711494876,3
diff,id,20,0.368963,0.15880878104103932,0.07835558699018183,-0.21015421895896066,3
diff,id,29,0.581775,0.18920776868859923,0.11343197230129932,-0.3925672313114008,3
diff,ood_low,1,0.118685,0.12261199909779756,0.004912196060039126,0.0039269990977975665,1
diff,ood_low,10,0.423123,0.4013243516286214,0.05237699444416226,-0.021798648371378643,2
diff,ood_low,20,0.536113,0.4797129929065704,0.07865718075506269,-0.05640000709342954,2
diff,ood_low,29,0.629247,0.5388003157244788,0.09118303398834442,-0.09044668427552117,2
diff,ood_high,1,0.093396,0.05567378923296926,0.010566326684890806,-0.037722210767030744,3
diff,ood_high,10,0.281472,0.25304658379819656,0.10716140327206916,-0.02842541620180346,2
diff,ood_high,20,0.564816,0.3476488118370374,0.19233764845933943,-0.21716718816296257,3
diff,ood_high,29,0.928311,0.4231489515966839,0.2659910962734323,-0.505162048403316,3
hyp,id,1,0.120052,0.10479201417830249,0.0023010268360098597,-0.015259985821697505,3
hyp,id,10,0.596626,0.35584452913867093,0.03753264009549182,-0.24078147086132903,3
hyp,id,20,1.21904,0.6061317622661591,0.25933511124822994,-0.6129082377338408,3
hyp,id,29,1.92833,0.9643732243114047,0.6337887255638318,-0.9639567756885953,3
hyp,ood_low,1,0.121483,0.0893047741717762,0.009671730641506004,-0.03217822582822379,3
hyp,ood_low,10,0.531534,0.3330369310246573,0.14727678912828165,-0.1984970689753426,3
hyp,ood_low,20,0.956496,0.5829609632492065,0.3712011544098187,-0.37353503675079347,2
hyp,ood_low,29,1.43607,0.8448828458786011,0.6231522381019954,-0.5911871541213988,2
hyp,ood_high,1,0.127145,0.11704546999600196,0.003914134646339289,-0.010099530003998042,3
hyp,ood_high,10,0.67792,0.4446026086807251,0.026556528403759924,-0.2333173913192749,3
hyp,ood_high,20,1.3771,0.6957552399900223,0.19521928919610504,-0.6813447600099775,3
hyp,ood_high,29,2.21562,1.103059622976515,0.6130166150882342,-1.1125603770234849,3
burgers,id,1,0.0374937,0.03655696753412483,0.0005440081252677842,-0.0009367324658751652,3
burgers,id,10,0.241336,0.2138892089327176,0.008203545112296606,-0.02744679106728239,3
burgers,id,20,0.435858,0.37496020065413577,0.018693409036881155,-0.06089779934586422,3
burgers,id,29,0.600134,0.496451026863522,0.03475894123305755,-0.10368297313647797,3
burgers,ood_low,1,0.0468303,0.0465258285403251,0.0005010970543631365,-0.0003044714596749006,2
burgers,ood_low,10,0.254209,0.22819205290741387,0.007577823650121838,-0.026016947092586156,3
burgers,ood_low,20,0.445046,0.3869625164402855,0.01758420678531098,-0.05808348355971443,3
burgers,ood_low,29,0.605855,0.5055753886699677,0.03213018379607202,-0.10027961133003238,3
burgers,ood_high,1,0.0325606,0.030778086537288234,0.0006513673082954732,-0.0017825134627117687,3
burgers,ood_high,10,0.233041,0.20474635726875723,0.008867510409891437,-0.02829464273124276,3
burgers,ood_high,20,0.429183,0.36587989661428666,0.02025618001005299,-0.06330310338571336,3
burgers,ood_high,29,0.596442,0.48975744181209135,0.03830838491642486,-0.10668455818790863,3
kdv,id,1,0.0432334,0.037904027487254764,0.0020967339558142298,-0.0053293725127452314,3
kdv,id,10,0.17378,0.163519667668475,0.03605358413669972,-0.010260332331524994,2
kdv,id,20,0.378078,0.35567774209711284,0.07688500157036367,-0.02240025790288717,1
kdv,id,29,0.543559,0.5269168317317963,0.10979385803317367,-0.01664216826820375,1
kdv,ood_low,1,0.0432558,0.03792481636628504,0.002094657841333382,-0.0053309836337149625,3
kdv,ood_low,10,0.173839,0.16358013865020535,0.03606114118539023,-0.010258861349794637,2
kdv,ood_low,20,0.378184,0.3557873401376936,0.07689963479511178,-0.02239665986230645,1
kdv,ood_low,29,0.543655,0.5270301236046685,0.10978594790139187,-0.016624876395331518,1
kdv,ood_high,1,0.0432088,0.0378811894398596,0.0020989947662019793,-0.0053276105601403985,3
